,n,21,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
0,L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op25,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,21500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,Cell
11,,,,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,13.0,14.0,9.0,10.0,11.0,12.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14,1,1,2,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
15,1,1,3,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
16,1,1,4,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
17,1,1,5,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
18,1,1,6,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
19,1,2,1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
20,1,2,2,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
21,1,2,3,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
22,1,2,4,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
23,1,5,1,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
24,1,5,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
25,1,5,3,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,
26,1,5,4,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
27,1,5,5,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,
