,n,27,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op34,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Cell
11,,,,1.0,2.0,5.0,19.0,3.0,4.0,6.0,20.0,7.0,8.0,8.0,13.0,14.0,9.0,9.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,21.0,15.0,16.0,16.0,17.0,18.0,22.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Alternative(for machine)
13,1,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,8,2,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,8,3,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,38,1,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,38,2,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,38,3,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,38,4,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,39,1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
21,1,39,2,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,39,3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,39,4,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,40,1,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,40,2,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,40,3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,40,4,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,31,1,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
29,2,31,2,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
30,2,31,3,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,31,4,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
32,2,41,1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
33,2,41,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,2,41,3,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
35,2,41,4,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
36,2,42,1,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,42,2,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
38,2,42,3,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
39,2,42,4,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
40,2,43,1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
41,2,43,2,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,43,3,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
43,2,43,4,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,25,1,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
45,3,25,2,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
46,3,25,3,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
47,3,25,4,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
48,3,26,1,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
49,3,26,2,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,
50,3,26,3,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
51,3,26,4,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
52,3,29,1,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,
53,3,29,2,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
54,3,29,3,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
55,3,29,4,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
56,3,30,1,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
57,3,30,2,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
58,3,30,3,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
59,3,30,4,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
60,4,32,1,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
61,4,32,2,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,
62,4,32,3,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,
63,4,32,4,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,
64,4,33,1,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,
65,4,33,2,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,
66,4,33,3,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
67,4,33,4,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,
68,4,20,1,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,
69,4,20,2,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
70,4,20,3,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,
71,4,21,1,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,
72,4,21,2,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,
73,4,21,3,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,
74,4,49,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
75,4,49,2,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,
76,4,49,3,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,
77,4,49,4,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,
78,4,50,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
79,4,50,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
80,4,50,3,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,
81,4,50,4,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,
82,4,51,1,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,
83,4,51,2,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,
84,4,51,3,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
85,4,51,4,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,
86,4,52,1,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,
87,4,52,2,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,
88,4,52,3,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
89,4,52,4,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,
90,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
91,5,34,2,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
92,5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
93,5,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
94,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
95,5,35,2,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
96,5,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
97,5,36,1,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
98,5,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
99,5,36,3,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
100,5,36,4,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
101,5,37,1,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
102,5,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
103,5,37,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
104,5,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
105,5,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
106,5,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
107,5,53,3,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,
108,5,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
109,5,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
110,5,54,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
111,5,54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
112,5,54,4,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
113,5,55,1,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
114,5,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
115,5,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
116,5,55,4,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
