,n,30,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op36,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,Cell
11,,,,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,8.0,13.0,14.0,14.0,14.0,14.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,15.0,16.0,16.0,17.0,18.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,2,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,3,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,1,4,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,2,1,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,2,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,2,3,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,9,1,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,9,2,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,9,3,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,69,1,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,69,2,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,69,3,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,69,4,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,70,1,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,70,2,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,70,3,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,71,1,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
31,1,71,2,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,71,3,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,71,4,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,3,1,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
35,2,3,2,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,3,3,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,4,1,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,4,2,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
39,2,4,3,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,6,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,6,2,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
42,2,6,3,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,6,4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,10,1,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,10,2,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,10,3,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
47,2,23,1,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
48,3,25,1,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
49,3,25,2,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
50,3,25,3,,,,,,,,,,,,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,
51,3,25,4,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
52,3,26,1,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,
53,3,26,2,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
54,3,26,3,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
55,3,26,4,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
56,3,28,1,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
57,3,28,2,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
58,3,28,3,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
59,3,28,4,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
60,3,29,1,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
61,3,29,2,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
62,3,29,3,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,
63,3,29,4,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
64,3,30,1,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,
65,3,30,2,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
66,3,30,3,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
67,3,30,4,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
68,3,47,1,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,
69,3,47,2,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
70,3,47,3,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,
71,3,47,4,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,
72,3,48,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
73,3,48,2,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
74,3,48,3,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
75,4,32,1,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,
76,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
77,4,32,3,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,
78,4,32,4,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,
79,4,33,1,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,
80,4,33,2,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
81,4,33,3,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,
82,4,33,4,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
83,4,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,
84,4,46,2,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,
85,4,46,3,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,
86,4,19,1,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,
87,4,19,2,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
88,4,19,3,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,
89,4,20,1,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,
90,4,20,2,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,
91,4,20,3,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
92,4,21,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
93,4,21,2,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,
94,4,21,3,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,
95,4,49,1,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
96,4,49,2,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,
97,4,49,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
98,4,49,4,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,
99,5,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
100,5,45,2,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,
101,5,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
102,5,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
103,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,
104,5,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
105,5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
106,5,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
107,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
108,5,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,
109,5,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
110,5,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,
111,5,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
112,5,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,
113,5,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
114,5,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
115,5,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
116,5,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
117,5,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
