,n,58,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op43,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,"4450,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,"58430,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,"1671,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1,1,1,1,1,1,1.0,1.0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Cell
11,,,,6,6,6,6,9,10,11.0,11.0,12,5,5,7,7,7,7,7,7,7,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,4,4,4,4,8,8,8,8,Machine
12,Part Family,Job,Operation no,1,2,3,4,1,1,1.0,2.0,1,1,2,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,1,2,1,2,3,4,1,2,3,4,Alternative(for machine)
13,1,38,1,,,,,,,,,,"0,15","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,1","3,1","3,1","3,1",
15,1,38,3,,,,,,"2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,15","6,15","6,15","6,15",
17,1,38,5,,,,,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,13","1,13","1,13","1,13",,,,,
19,2,4,1,,,,,,,,,,"1,15","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
