,n,11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,L,3,,,,,,,,,,,,,
1,C,3,,,,,,,,,,,,,
2,m,11,,,,,,,,,,,,,
3,op15,37,,,,,,,,,,,,,
4,N_Cmax,101,,,,,,,,,,,,,
5,N_TT,335,,,,,,,,,,,,,
6,I_Cmax,35,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,
8,MaxFES,9000,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,6.0,7.0,7.0,8.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,,,,,,,,,
14,1,2,2,3.0,,,,,,,,,,,
15,1,2,3,,4.0,4.0,,,,,,,,,
16,1,5,1,,,,,,3.0,3.0,,,,,
17,1,5,2,,2.0,2.0,,,,,,,,,
18,1,5,3,6.0,,,,,,,,,,,
19,1,5,4,,,,,,3.0,3.0,,,,,
20,1,7,1,,,,,,5.0,5.0,,,,,
21,1,7,2,6.0,,,,,,,,,,,
22,1,7,3,,,,5.0,,,,,,,,
23,1,8,1,3.0,,,,,,,,,,,
24,1,8,2,,9.0,9.0,,,,,,,,,
25,1,8,3,,,,4.0,,,,,,,,
26,2,10,1,,,,,9.0,,,,,,,
27,2,10,2,,7.0,7.0,,,,,,,,,
28,2,10,3,,,,,,3.0,3.0,,,,,
29,2,11,1,,,,,,,,3.0,,,,
30,2,11,2,,,,,5.0,,,,,,,
31,2,11,3,,,,,,,,3.0,,,,
32,2,11,4,,,,,5.0,,,,,,,
33,2,12,1,,,,,,4.0,4.0,,,,,
34,2,12,2,,,,,,,,5.0,,,,
35,2,12,3,,,,,,4.0,4.0,,,,,
36,2,22,1,,,,,,3.0,3.0,,,,,
37,2,22,2,,,,,8.0,,,,,,,
38,2,22,3,,,,,,3.0,3.0,,,,,
39,2,22,4,,,,,8.0,,,,,,,
40,3,15,1,,,,,,,,,,,2.0,
41,3,15,2,,,,,,,,,4.0,4.0,,
42,3,15,3,,,,,,1.0,1.0,,,,,
43,3,16,1,,,,,,,,,5.0,5.0,,
44,3,16,2,,2.0,2.0,,,,,,,,,
45,3,16,3,,,,,,,,,,,3.0,
46,3,16,4,,2.0,2.0,,,,,,,,,
47,3,17,1,,,,,,1.0,1.0,,,,,
48,3,17,2,,,,,,,,,1.0,1.0,,
49,3,17,3,,,,,,,,,,,2.0,
50,,,,,,,,,,,,,,,
51,Part Family,Part Family,Setup Time,,,,,,,,,,,,
52,1,1,0,,,,,,,,,,,,
53,1,2,3,,,,,,,,,,,,
54,1,3,7,,,,,,,,,,,,
55,2,1,4,,,,,,,,,,,,
56,2,2,0,,,,,,,,,,,,
57,2,3,4,,,,,,,,,,,,
58,3,1,6,,,,,,,,,,,,
59,3,2,5,,,,,,,,,,,,
60,3,3,0,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,Cell,Cell,Transportation Time,,,,,,,,,,,,
63,1,1,0,,,,,,,,,,,,
64,1,2,3,,,,,,,,,,,,
65,1,3,5,,,,,,,,,,,,
66,2,1,4,,,,,,,,,,,,
67,2,2,0,,,,,,,,,,,,
68,2,3,8,,,,,,,,,,,,
69,3,1,6,,,,,,,,,,,,
70,3,2,5,,,,,,,,,,,,
71,3,3,0,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,Job,Due Date,,,,,,,,,,,,,
74,2,77,,,,,,,,,,,,,
75,5,48,,,,,,,,,,,,,
76,7,5,,,,,,,,,,,,,
77,8,110,,,,,,,,,,,,,
78,10,8,,,,,,,,,,,,,
79,11,53,,,,,,,,,,,,,
80,12,21,,,,,,,,,,,,,
81,22,11,,,,,,,,,,,,,
82,15,103,,,,,,,,,,,,,
83,16,4,,,,,,,,,,,,,
84,17,13,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,No,Reference_point1,Reference_point2,,,,,,,,,,,,
87,1,40,81,,,,,,,,,,,,
88,2,44,121,,,,,,,,,,,,
89,3,48,100,,,,,,,,,,,,
90,4,42,131,,,,,,,,,,,,
91,5,37,113,,,,,,,,,,,,
92,6,35,89,,,,,,,,,,,,
93,7,41,134,,,,,,,,,,,,
94,8,49,114,,,,,,,,,,,,
95,9,40,111,,,,,,,,,,,,
96,10,49,117,,,,,,,,,,,,
97,11,54,80,,,,,,,,,,,,
98,12,38,97,,,,,,,,,,,,
99,13,51,85,,,,,,,,,,,,
100,14,51,93,,,,,,,,,,,,
101,15,52,128,,,,,,,,,,,,
102,16,46,118,,,,,,,,,,,,
103,17,49,75,,,,,,,,,,,,
104,18,55,123,,,,,,,,,,,,
105,19,53,78,,,,,,,,,,,,
106,20,45,106,,,,,,,,,,,,
107,21,40,134,,,,,,,,,,,,
108,22,49,98,,,,,,,,,,,,
109,23,44,115,,,,,,,,,,,,
110,24,49,103,,,,,,,,,,,,
111,25,40,96,,,,,,,,,,,,
112,26,46,85,,,,,,,,,,,,
113,27,42,116,,,,,,,,,,,,
114,28,43,84,,,,,,,,,,,,
115,29,54,80,,,,,,,,,,,,
116,30,55,104,,,,,,,,,,,,
117,31,48,77,,,,,,,,,,,,
118,32,37,87,,,,,,,,,,,,
119,33,36,93,,,,,,,,,,,,
120,34,46,93,,,,,,,,,,,,
121,35,55,127,,,,,,,,,,,,
122,36,51,88,,,,,,,,,,,,
123,37,37,85,,,,,,,,,,,,
124,38,44,132,,,,,,,,,,,,
125,39,43,121,,,,,,,,,,,,
126,40,54,82,,,,,,,,,,,,
127,41,45,94,,,,,,,,,,,,
128,42,36,103,,,,,,,,,,,,
129,43,42,98,,,,,,,,,,,,
130,44,42,75,,,,,,,,,,,,
131,45,47,125,,,,,,,,,,,,
132,46,52,121,,,,,,,,,,,,
133,47,36,76,,,,,,,,,,,,
134,48,53,88,,,,,,,,,,,,
135,49,53,103,,,,,,,,,,,,
136,50,41,82,,,,,,,,,,,,
137,51,37,97,,,,,,,,,,,,
138,52,44,97,,,,,,,,,,,,
139,53,46,93,,,,,,,,,,,,
140,54,36,85,,,,,,,,,,,,
141,55,40,101,,,,,,,,,,,,
142,56,50,85,,,,,,,,,,,,
143,57,37,126,,,,,,,,,,,,
144,58,55,94,,,,,,,,,,,,
145,59,55,114,,,,,,,,,,,,
146,60,52,116,,,,,,,,,,,,
147,61,54,107,,,,,,,,,,,,
148,62,49,84,,,,,,,,,,,,
149,63,35,76,,,,,,,,,,,,
150,64,37,79,,,,,,,,,,,,
151,65,41,87,,,,,,,,,,,,
152,66,36,130,,,,,,,,,,,,
153,67,44,124,,,,,,,,,,,,
154,68,55,82,,,,,,,,,,,,
155,69,52,116,,,,,,,,,,,,
156,70,54,78,,,,,,,,,,,,
157,71,41,87,,,,,,,,,,,,
158,72,50,85,,,,,,,,,,,,
159,73,36,115,,,,,,,,,,,,
160,74,48,89,,,,,,,,,,,,
161,75,35,109,,,,,,,,,,,,
162,76,40,88,,,,,,,,,,,,
163,77,48,111,,,,,,,,,,,,
164,78,38,110,,,,,,,,,,,,
165,79,49,93,,,,,,,,,,,,
166,80,42,107,,,,,,,,,,,,
167,81,38,134,,,,,,,,,,,,
168,82,53,78,,,,,,,,,,,,
169,83,42,124,,,,,,,,,,,,
170,84,49,93,,,,,,,,,,,,
171,85,52,127,,,,,,,,,,,,
172,86,44,92,,,,,,,,,,,,
173,87,50,123,,,,,,,,,,,,
174,88,42,119,,,,,,,,,,,,
175,89,51,105,,,,,,,,,,,,
176,90,36,95,,,,,,,,,,,,
177,91,43,128,,,,,,,,,,,,
178,92,35,118,,,,,,,,,,,,
179,93,55,126,,,,,,,,,,,,
180,94,41,127,,,,,,,,,,,,
181,95,48,99,,,,,,,,,,,,
182,96,44,106,,,,,,,,,,,,
183,97,42,97,,,,,,,,,,,,
184,98,53,94,,,,,,,,,,,,
185,99,41,116,,,,,,,,,,,,
186,100,52,90,,,,,,,,,,,,
187,101,55,94,,,,,,,,,,,,
188,102,43,84,,,,,,,,,,,,
189,103,37,132,,,,,,,,,,,,
190,104,45,124,,,,,,,,,,,,
191,105,39,101,,,,,,,,,,,,
192,106,51,85,,,,,,,,,,,,
193,107,39,75,,,,,,,,,,,,
194,108,38,91,,,,,,,,,,,,
195,109,54,84,,,,,,,,,,,,
196,110,37,104,,,,,,,,,,,,
197,111,45,124,,,,,,,,,,,,
198,112,49,101,,,,,,,,,,,,
199,113,44,131,,,,,,,,,,,,
200,114,54,96,,,,,,,,,,,,
201,115,54,78,,,,,,,,,,,,
202,116,43,81,,,,,,,,,,,,
203,117,49,124,,,,,,,,,,,,
204,118,42,78,,,,,,,,,,,,
205,119,45,128,,,,,,,,,,,,
206,120,48,75,,,,,,,,,,,,
207,121,42,103,,,,,,,,,,,,
208,122,48,87,,,,,,,,,,,,
209,123,48,90,,,,,,,,,,,,
210,124,41,95,,,,,,,,,,,,
211,125,39,110,,,,,,,,,,,,
212,126,42,85,,,,,,,,,,,,
213,127,47,94,,,,,,,,,,,,
214,128,50,84,,,,,,,,,,,,
215,129,48,131,,,,,,,,,,,,
216,130,50,84,,,,,,,,,,,,
217,131,35,82,,,,,,,,,,,,
218,132,53,84,,,,,,,,,,,,
219,133,35,115,,,,,,,,,,,,
220,134,45,99,,,,,,,,,,,,
221,135,48,80,,,,,,,,,,,,
222,136,51,78,,,,,,,,,,,,
223,137,45,80,,,,,,,,,,,,
224,138,37,77,,,,,,,,,,,,
225,139,38,102,,,,,,,,,,,,
226,140,52,85,,,,,,,,,,,,
227,141,48,111,,,,,,,,,,,,
228,142,37,94,,,,,,,,,,,,
229,143,49,89,,,,,,,,,,,,
230,144,46,96,,,,,,,,,,,,
231,145,36,87,,,,,,,,,,,,
232,146,43,109,,,,,,,,,,,,
