,n,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,L,2,,,,,,,,,,
1,C,2,,,,,,,,,,
2,m,8,,,,,,,,,,
3,op16,33,,,,,,,,,,
4,N_Cmax,94,,,,,,,,,,
5,N_TT,318,,,,,,,,,,
6,I_Cmax,47,,,,,,,,,,
7,I_TT,0,,,,,,,,,,
8,MaxFES,8000,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,6.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,,,,,,
14,1,2,2,3.0,,,,,,,,
15,1,2,3,,4.0,4.0,,,,,,
16,1,5,1,,,,,,3.0,3.0,,
17,1,5,2,,2.0,2.0,,,,,,
18,1,5,3,6.0,,,,,,,,
19,1,5,4,,,,,,3.0,3.0,,
20,1,7,1,,,,,,5.0,5.0,,
21,1,7,2,6.0,,,,,,,,
22,1,7,3,,,,5.0,,,,,
23,1,8,1,3.0,,,,,,,,
24,1,8,2,,9.0,9.0,,,,,,
25,1,8,3,,,,4.0,,,,,
26,1,9,1,,5.0,5.0,,,,,,
27,1,9,2,4.0,,,,,,,,
28,1,9,3,,5.0,5.0,,,,,,
29,2,4,1,,,,,6.0,,,,
30,2,4,2,,,,,,2.0,2.0,,
31,2,4,3,,,,,6.0,,,,
32,2,10,1,,,,,9.0,,,,
33,2,10,2,,7.0,7.0,,,,,,
34,2,10,3,,,,,,3.0,3.0,,
35,2,11,1,,,,,,,,3.0,
36,2,11,2,,,,,5.0,,,,
37,2,11,3,,,,,,,,3.0,
38,2,11,4,,,,,5.0,,,,
39,2,12,1,,,,,,4.0,4.0,,
40,2,12,2,,,,,,,,5.0,
41,2,12,3,,,,,,4.0,4.0,,
42,2,22,1,,,,,,3.0,3.0,,
43,2,22,2,,,,,8.0,,,,
44,2,22,3,,,,,,3.0,3.0,,
45,2,22,4,,,,,8.0,,,,
46,,,,,,,,,,,,
47,Part Family,Part Family,Setup Time,,,,,,,,,
48,1,1,0,,,,,,,,,
49,1,2,3,,,,,,,,,
50,2,1,4,,,,,,,,,
51,2,2,0,,,,,,,,,
52,,,,,,,,,,,,
53,Cell,Cell,Transportation Time,,,,,,,,,
54,1,1,0,,,,,,,,,
55,1,2,3,,,,,,,,,
56,2,1,4,,,,,,,,,
57,2,2,0,,,,,,,,,
58,,,,,,,,,,,,
59,Job,Due Date,,,,,,,,,,
60,2,77,,,,,,,,,,
61,5,48,,,,,,,,,,
62,7,5,,,,,,,,,,
63,8,110,,,,,,,,,,
64,9,50,,,,,,,,,,
65,4,3,,,,,,,,,,
66,10,8,,,,,,,,,,
67,11,53,,,,,,,,,,
68,12,21,,,,,,,,,,
69,22,11,,,,,,,,,,
70,,,,,,,,,,,,
71,No,Reference_point1,Reference_point2,,,,,,,,,
72,1,49,92,,,,,,,,,
73,2,51,138,,,,,,,,,
74,3,52,114,,,,,,,,,
75,4,50,150,,,,,,,,,
76,5,47,129,,,,,,,,,
77,6,47,102,,,,,,,,,
78,7,49,153,,,,,,,,,
79,8,53,130,,,,,,,,,
80,9,49,127,,,,,,,,,
81,10,53,133,,,,,,,,,
82,11,55,91,,,,,,,,,
83,12,48,111,,,,,,,,,
84,13,54,96,,,,,,,,,
85,14,54,106,,,,,,,,,
86,15,54,146,,,,,,,,,
87,16,52,134,,,,,,,,,
88,17,53,85,,,,,,,,,
89,18,55,140,,,,,,,,,
90,19,54,89,,,,,,,,,
91,20,51,121,,,,,,,,,
92,21,49,153,,,,,,,,,
93,22,53,111,,,,,,,,,
94,23,50,131,,,,,,,,,
95,24,53,117,,,,,,,,,
96,25,49,109,,,,,,,,,
97,26,51,96,,,,,,,,,
98,27,50,132,,,,,,,,,
99,28,50,95,,,,,,,,,
100,29,55,90,,,,,,,,,
101,30,55,118,,,,,,,,,
102,31,52,88,,,,,,,,,
103,32,48,99,,,,,,,,,
104,33,47,106,,,,,,,,,
105,34,51,106,,,,,,,,,
106,35,55,145,,,,,,,,,
107,36,54,100,,,,,,,,,
108,37,47,97,,,,,,,,,
109,38,50,150,,,,,,,,,
110,39,50,138,,,,,,,,,
111,40,55,93,,,,,,,,,
112,41,51,107,,,,,,,,,
113,42,47,117,,,,,,,,,
114,43,50,111,,,,,,,,,
115,44,50,85,,,,,,,,,
116,45,52,142,,,,,,,,,
117,46,54,138,,,,,,,,,
118,47,47,86,,,,,,,,,
119,48,54,100,,,,,,,,,
120,49,54,117,,,,,,,,,
121,50,49,93,,,,,,,,,
122,51,48,110,,,,,,,,,
123,52,51,110,,,,,,,,,
124,53,52,106,,,,,,,,,
125,54,47,96,,,,,,,,,
126,55,49,115,,,,,,,,,
127,56,53,97,,,,,,,,,
128,57,48,143,,,,,,,,,
129,58,55,106,,,,,,,,,
130,59,55,129,,,,,,,,,
131,60,54,133,,,,,,,,,
132,61,55,122,,,,,,,,,
133,62,53,96,,,,,,,,,
134,63,47,86,,,,,,,,,
135,64,48,90,,,,,,,,,
136,65,49,99,,,,,,,,,
137,66,47,148,,,,,,,,,
138,67,51,141,,,,,,,,,
139,68,55,93,,,,,,,,,
140,69,54,132,,,,,,,,,
141,70,55,88,,,,,,,,,
142,71,49,98,,,,,,,,,
143,72,53,97,,,,,,,,,
144,73,47,131,,,,,,,,,
145,74,52,101,,,,,,,,,
146,75,47,124,,,,,,,,,
147,76,49,100,,,,,,,,,
148,77,52,126,,,,,,,,,
149,78,48,125,,,,,,,,,
150,79,53,106,,,,,,,,,
151,80,50,121,,,,,,,,,
152,81,48,153,,,,,,,,,
153,82,54,89,,,,,,,,,
154,83,50,142,,,,,,,,,
155,84,53,106,,,,,,,,,
156,85,54,145,,,,,,,,,
157,86,51,105,,,,,,,,,
158,87,53,140,,,,,,,,,
159,88,50,136,,,,,,,,,
160,89,54,120,,,,,,,,,
161,90,47,108,,,,,,,,,
162,91,50,146,,,,,,,,,
163,92,47,134,,,,,,,,,
164,93,55,144,,,,,,,,,
165,94,49,145,,,,,,,,,
166,95,52,113,,,,,,,,,
167,96,50,121,,,,,,,,,
168,97,50,111,,,,,,,,,
169,98,54,107,,,,,,,,,
170,99,49,132,,,,,,,,,
171,100,54,102,,,,,,,,,
172,101,55,107,,,,,,,,,
173,102,50,95,,,,,,,,,
174,103,47,150,,,,,,,,,
175,104,51,141,,,,,,,,,
176,105,48,115,,,,,,,,,
177,106,54,97,,,,,,,,,
178,107,49,85,,,,,,,,,
179,108,48,104,,,,,,,,,
180,109,55,95,,,,,,,,,
181,110,47,119,,,,,,,,,
182,111,51,142,,,,,,,,,
183,112,53,115,,,,,,,,,
184,113,50,149,,,,,,,,,
185,114,55,109,,,,,,,,,
186,115,55,88,,,,,,,,,
187,116,50,92,,,,,,,,,
188,117,53,141,,,,,,,,,
189,118,50,89,,,,,,,,,
190,119,51,146,,,,,,,,,
191,120,52,85,,,,,,,,,
192,121,50,118,,,,,,,,,
193,122,52,99,,,,,,,,,
194,123,52,103,,,,,,,,,
195,124,49,108,,,,,,,,,
196,125,49,126,,,,,,,,,
197,126,50,97,,,,,,,,,
198,127,52,107,,,,,,,,,
199,128,53,95,,,,,,,,,
200,129,52,149,,,,,,,,,
201,130,53,95,,,,,,,,,
202,131,47,93,,,,,,,,,
203,132,55,96,,,,,,,,,
204,133,47,131,,,,,,,,,
205,134,51,113,,,,,,,,,
206,135,52,90,,,,,,,,,
207,136,53,89,,,,,,,,,
208,137,51,91,,,,,,,,,
209,138,48,87,,,,,,,,,
210,139,48,117,,,,,,,,,
211,140,54,96,,,,,,,,,
212,141,52,127,,,,,,,,,
213,142,48,107,,,,,,,,,
214,143,53,101,,,,,,,,,
215,144,51,109,,,,,,,,,
216,145,47,99,,,,,,,,,
217,146,50,124,,,,,,,,,
218,147,48,117,,,,,,,,,
219,148,47,102,,,,,,,,,
220,149,52,118,,,,,,,,,
221,150,48,150,,,,,,,,,
222,151,53,145,,,,,,,,,
223,152,53,94,,,,,,,,,
224,153,54,106,,,,,,,,,
225,154,52,119,,,,,,,,,
226,155,48,132,,,,,,,,,
227,156,55,98,,,,,,,,,
228,157,48,122,,,,,,,,,
229,158,51,112,,,,,,,,,
230,159,55,124,,,,,,,,,
231,160,51,139,,,,,,,,,
232,161,48,94,,,,,,,,,
233,162,49,115,,,,,,,,,
234,163,53,98,,,,,,,,,
235,164,55,88,,,,,,,,,
236,165,47,144,,,,,,,,,
237,166,51,132,,,,,,,,,
238,167,49,145,,,,,,,,,
239,168,50,137,,,,,,,,,
240,169,55,153,,,,,,,,,
241,170,51,110,,,,,,,,,
242,171,52,86,,,,,,,,,
243,172,48,112,,,,,,,,,
244,173,49,99,,,,,,,,,
245,174,51,127,,,,,,,,,
246,175,55,127,,,,,,,,,
247,176,49,85,,,,,,,,,
248,177,47,111,,,,,,,,,
249,178,54,129,,,,,,,,,
250,179,51,101,,,,,,,,,
251,180,51,128,,,,,,,,,
252,181,50,126,,,,,,,,,
253,182,50,109,,,,,,,,,
254,183,49,104,,,,,,,,,
255,184,55,101,,,,,,,,,
256,185,48,136,,,,,,,,,
257,186,51,153,,,,,,,,,
258,187,47,92,,,,,,,,,
259,188,48,93,,,,,,,,,
260,189,55,149,,,,,,,,,
261,190,48,117,,,,,,,,,
262,191,53,103,,,,,,,,,
263,192,47,117,,,,,,,,,
264,193,52,116,,,,,,,,,
265,194,53,148,,,,,,,,,
266,195,47,136,,,,,,,,,
267,196,48,132,,,,,,,,,
268,197,51,144,,,,,,,,,
269,198,55,152,,,,,,,,,
270,199,52,139,,,,,,,,,
271,200,48,150,,,,,,,,,
272,201,49,100,,,,,,,,,
273,202,51,99,,,,,,,,,
274,203,48,103,,,,,,,,,
275,204,55,146,,,,,,,,,
276,205,48,130,,,,,,,,,
277,206,52,127,,,,,,,,,
278,207,47,153,,,,,,,,,
279,208,55,95,,,,,,,,,
280,209,51,149,,,,,,,,,
281,210,53,139,,,,,,,,,
282,211,52,153,,,,,,,,,
283,212,48,112,,,,,,,,,
284,213,51,138,,,,,,,,,
285,214,51,100,,,,,,,,,
286,215,48,101,,,,,,,,,
287,216,51,98,,,,,,,,,
288,217,53,102,,,,,,,,,
289,218,48,120,,,,,,,,,
290,219,54,145,,,,,,,,,
291,220,49,106,,,,,,,,,
292,221,51,139,,,,,,,,,
293,222,53,114,,,,,,,,,
294,223,47,125,,,,,,,,,
295,224,52,122,,,,,,,,,
296,225,55,139,,,,,,,,,
297,226,51,131,,,,,,,,,
298,227,47,110,,,,,,,,,
299,228,50,107,,,,,,,,,
300,229,47,90,,,,,,,,,
301,230,53,110,,,,,,,,,
302,231,54,133,,,,,,,,,
303,232,53,148,,,,,,,,,
304,233,48,116,,,,,,,,,
305,234,54,138,,,,,,,,,
306,235,54,111,,,,,,,,,
307,236,50,129,,,,,,,,,
308,237,52,116,,,,,,,,,
309,238,49,140,,,,,,,,,
310,239,49,134,,,,,,,,,
311,240,49,150,,,,,,,,,
312,241,48,149,,,,,,,,,
313,242,49,111,,,,,,,,,
314,243,54,142,,,,,,,,,
315,244,48,112,,,,,,,,,
316,245,55,142,,,,,,,,,
