,n,12,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,L,3,,,,,,,,,,,
1,C,3,,,,,,,,,,,
2,m,9,,,,,,,,,,,
3,op19,38,,,,,,,,,,,
4,N_Cmax,115,,,,,,,,,,,
5,N_TT,613,,,,,,,,,,,
6,I_Cmax,42,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,
8,MaxFES,9500,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,7.0,8.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,,,,,,,
14,1,2,2,3.0,,,,,,,,,
15,1,2,3,,4.0,4.0,,,,,,,
16,1,5,1,,,,,,3.0,3.0,,,
17,1,5,2,,2.0,2.0,,,,,,,
18,1,5,3,6.0,,,,,,,,,
19,1,5,4,,,,,,3.0,3.0,,,
20,1,7,1,,,,,,5.0,5.0,,,
21,1,7,2,6.0,,,,,,,,,
22,1,7,3,,,,5.0,,,,,,
23,1,8,1,3.0,,,,,,,,,
24,1,8,2,,9.0,9.0,,,,,,,
25,1,8,3,,,,4.0,,,,,,
26,2,4,1,,,,,6.0,,,,,
27,2,4,2,,,,,,2.0,2.0,,,
28,2,4,3,,,,,6.0,,,,,
29,2,6,1,1.0,,,,,,,,,
30,2,6,2,,,,,,7.0,7.0,,,
31,2,6,3,,,,,5.0,,,,,
32,2,6,4,1.0,,,,,,,,,
33,2,10,1,,,,,9.0,,,,,
34,2,10,2,,7.0,7.0,,,,,,,
35,2,10,3,,,,,,3.0,3.0,,,
36,2,22,1,,,,,,3.0,3.0,,,
37,2,22,2,,,,,8.0,,,,,
38,2,22,3,,,,,,3.0,3.0,,,
39,2,22,4,,,,,8.0,,,,,
40,3,23,1,,,,,,7.0,7.0,,,
41,3,15,1,,,,,,,,,2.0,
42,3,15,2,,,,,,,,4.0,,
43,3,15,3,,,,,,1.0,1.0,,,
44,3,16,1,,,,,,,,5.0,,
45,3,16,2,,2.0,2.0,,,,,,,
46,3,16,3,,,,,,,,,3.0,
47,3,16,4,,2.0,2.0,,,,,,,
48,3,17,1,,,,,,1.0,1.0,,,
49,3,17,2,,,,,,,,1.0,,
50,3,17,3,,,,,,,,,2.0,
51,,,,,,,,,,,,,
52,Part Family,Part Family,Setup Time,,,,,,,,,,
53,1,1,0,,,,,,,,,,
54,1,2,3,,,,,,,,,,
55,1,3,7,,,,,,,,,,
56,2,1,4,,,,,,,,,,
57,2,2,0,,,,,,,,,,
58,2,3,4,,,,,,,,,,
59,3,1,6,,,,,,,,,,
60,3,2,5,,,,,,,,,,
61,3,3,0,,,,,,,,,,
62,,,,,,,,,,,,,
63,Cell,Cell,Transportation Time,,,,,,,,,,
64,1,1,0,,,,,,,,,,
65,1,2,3,,,,,,,,,,
66,1,3,5,,,,,,,,,,
67,2,1,4,,,,,,,,,,
68,2,2,0,,,,,,,,,,
69,2,3,8,,,,,,,,,,
70,3,1,6,,,,,,,,,,
71,3,2,5,,,,,,,,,,
72,3,3,0,,,,,,,,,,
73,,,,,,,,,,,,,
74,Job,Due Date,,,,,,,,,,,
75,2,77,,,,,,,,,,,
76,5,48,,,,,,,,,,,
77,7,5,,,,,,,,,,,
78,8,110,,,,,,,,,,,
79,4,3,,,,,,,,,,,
80,6,2,,,,,,,,,,,
81,10,8,,,,,,,,,,,
82,22,11,,,,,,,,,,,
83,23,5,,,,,,,,,,,
84,15,103,,,,,,,,,,,
85,16,4,,,,,,,,,,,
86,17,13,,,,,,,,,,,
87,,,,,,,,,,,,,
88,No,Reference_point1,Reference_point2,,,,,,,,,,
89,1,46,151,,,,,,,,,,
90,2,49,217,,,,,,,,,,
91,3,53,183,,,,,,,,,,
92,4,48,234,,,,,,,,,,
93,5,43,204,,,,,,,,,,
94,6,42,165,,,,,,,,,,
95,7,47,238,,,,,,,,,,
96,8,53,205,,,,,,,,,,
97,9,46,201,,,,,,,,,,
98,10,53,210,,,,,,,,,,
99,11,58,150,,,,,,,,,,
100,12,44,178,,,,,,,,,,
101,13,55,157,,,,,,,,,,
102,14,55,171,,,,,,,,,,
103,15,55,228,,,,,,,,,,
104,16,51,211,,,,,,,,,,
105,17,53,142,,,,,,,,,,
106,18,58,220,,,,,,,,,,
107,19,56,147,,,,,,,,,,
108,20,50,193,,,,,,,,,,
109,21,46,239,,,,,,,,,,
110,22,53,179,,,,,,,,,,
111,23,49,207,,,,,,,,,,
112,24,53,187,,,,,,,,,,
113,25,46,175,,,,,,,,,,
114,26,50,157,,,,,,,,,,
115,27,47,209,,,,,,,,,,
116,28,48,156,,,,,,,,,,
117,29,58,149,,,,,,,,,,
118,30,58,189,,,,,,,,,,
119,31,52,145,,,,,,,,,,
120,32,44,162,,,,,,,,,,
121,33,43,171,,,,,,,,,,
122,34,51,171,,,,,,,,,,
123,35,58,227,,,,,,,,,,
124,36,55,162,,,,,,,,,,
125,37,43,158,,,,,,,,,,
126,38,49,235,,,,,,,,,,
127,39,48,217,,,,,,,,,,
128,40,58,153,,,,,,,,,,
129,41,50,172,,,,,,,,,,
130,42,43,187,,,,,,,,,,
131,43,48,179,,,,,,,,,,
132,44,48,141,,,,,,,,,,
133,45,52,223,,,,,,,,,,
134,46,56,217,,,,,,,,,,
135,47,43,143,,,,,,,,,,
136,48,57,163,,,,,,,,,,
137,49,56,188,,,,,,,,,,
138,50,47,153,,,,,,,,,,
139,51,44,177,,,,,,,,,,
140,52,50,177,,,,,,,,,,
141,53,51,171,,,,,,,,,,
142,54,43,157,,,,,,,,,,
143,55,46,184,,,,,,,,,,
144,56,54,158,,,,,,,,,,
145,57,44,225,,,,,,,,,,
146,58,58,172,,,,,,,,,,
147,59,58,205,,,,,,,,,,
148,60,56,210,,,,,,,,,,
149,61,58,194,,,,,,,,,,
150,62,53,156,,,,,,,,,,
151,63,42,143,,,,,,,,,,
152,64,44,148,,,,,,,,,,
153,65,46,161,,,,,,,,,,
154,66,43,232,,,,,,,,,,
155,67,50,222,,,,,,,,,,
156,68,58,152,,,,,,,,,,
157,69,56,209,,,,,,,,,,
158,70,57,146,,,,,,,,,,
159,71,47,161,,,,,,,,,,
160,72,54,158,,,,,,,,,,
161,73,43,208,,,,,,,,,,
162,74,52,164,,,,,,,,,,
163,75,42,197,,,,,,,,,,
164,76,46,162,,,,,,,,,,
165,77,52,200,,,,,,,,,,
166,78,45,198,,,,,,,,,,
167,79,53,172,,,,,,,,,,
168,80,47,193,,,,,,,,,,
169,81,44,239,,,,,,,,,,
170,82,56,146,,,,,,,,,,
171,83,48,222,,,,,,,,,,
172,84,53,171,,,,,,,,,,
173,85,56,227,,,,,,,,,,
174,86,50,169,,,,,,,,,,
175,87,54,220,,,,,,,,,,
176,88,48,214,,,,,,,,,,
177,89,55,191,,,,,,,,,,
178,90,43,174,,,,,,,,,,
179,91,48,229,,,,,,,,,,
180,92,42,212,,,,,,,,,,
181,93,58,226,,,,,,,,,,
182,94,47,227,,,,,,,,,,
183,95,52,181,,,,,,,,,,
184,96,49,193,,,,,,,,,,
185,97,47,178,,,,,,,,,,
186,98,56,173,,,,,,,,,,
187,99,47,208,,,,,,,,,,
188,100,55,166,,,,,,,,,,
189,101,58,173,,,,,,,,,,
190,102,48,156,,,,,,,,,,
191,103,43,235,,,,,,,,,,
192,104,50,222,,,,,,,,,,
193,105,45,184,,,,,,,,,,
194,106,55,158,,,,,,,,,,
195,107,46,142,,,,,,,,,,
196,108,44,168,,,,,,,,,,
197,109,58,155,,,,,,,,,,
198,110,43,189,,,,,,,,,,
199,111,50,223,,,,,,,,,,
200,112,53,185,,,,,,,,,,
201,113,49,234,,,,,,,,,,
202,114,58,176,,,,,,,,,,
203,115,57,146,,,,,,,,,,
204,116,48,151,,,,,,,,,,
205,117,53,222,,,,,,,,,,
206,118,48,147,,,,,,,,,,
207,119,50,228,,,,,,,,,,
208,120,52,141,,,,,,,,,,
209,121,48,188,,,,,,,,,,
210,122,53,161,,,,,,,,,,
211,123,52,167,,,,,,,,,,
212,124,47,174,,,,,,,,,,
213,125,45,200,,,,,,,,,,
214,126,48,158,,,,,,,,,,
215,127,51,173,,,,,,,,,,
216,128,54,155,,,,,,,,,,
217,129,53,233,,,,,,,,,,
218,130,54,156,,,,,,,,,,
219,131,42,152,,,,,,,,,,
220,132,57,157,,,,,,,,,,
221,133,42,208,,,,,,,,,,
222,134,50,182,,,,,,,,,,
223,135,53,149,,,,,,,,,,
224,136,55,147,,,,,,,,,,
225,137,50,149,,,,,,,,,,
226,138,43,144,,,,,,,,,,
227,139,45,186,,,,,,,,,,
228,140,56,158,,,,,,,,,,
229,141,52,201,,,,,,,,,,
230,142,44,172,,,,,,,,,,
231,143,53,164,,,,,,,,,,
232,144,50,176,,,,,,,,,,
233,145,43,161,,,,,,,,,,
234,146,48,197,,,,,,,,,,
235,147,44,187,,,,,,,,,,
236,148,42,166,,,,,,,,,,
237,149,51,189,,,,,,,,,,
238,150,44,234,,,,,,,,,,
239,151,55,228,,,,,,,,,,
240,152,53,155,,,,,,,,,,
241,153,56,172,,,,,,,,,,
242,154,53,190,,,,,,,,,,
243,155,45,209,,,,,,,,,,
244,156,58,159,,,,,,,,,,
245,157,43,195,,,,,,,,,,
246,158,50,180,,,,,,,,,,
247,159,58,198,,,,,,,,,,
248,160,50,219,,,,,,,,,,
249,161,44,154,,,,,,,,,,
250,162,47,184,,,,,,,,,,
251,163,53,160,,,,,,,,,,
252,164,57,145,,,,,,,,,,
253,165,43,225,,,,,,,,,,
254,166,49,209,,,,,,,,,,
255,167,46,228,,,,,,,,,,
256,168,48,216,,,,,,,,,,
257,169,57,239,,,,,,,,,,
258,170,50,177,,,,,,,,,,
259,171,51,143,,,,,,,,,,
260,172,44,179,,,,,,,,,,
