,n,6,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,L,2,,,,,,,,
1,C,2,,,,,,,,
2,m,6,,,,,,,,
3,op6,21,,,,,,,,
4,N_Cmax,88,,,,,,,,
5,N_TT,144,,,,,,,,
6,I_Cmax,28,,,,,,,,
7,I_TT,0,,,,,,,,
8,MaxFES,5000,,,,,,,,
9,,,,,,,,,,
10,,,,1.0,1.0,1.0,2.0,2.0,2.0,Cell
11,,,,1.0,2.0,2.0,3.0,3.0,4.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,2.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,
14,1,1,2,,5.0,5.0,,,,
15,1,1,3,,,,6.0,6.0,,
16,1,1,4,,5.0,5.0,,,,
17,1,2,1,,4.0,4.0,,,,
18,1,2,2,3.0,,,,,,
19,1,2,3,,4.0,4.0,,,,
20,1,5,1,,,,,,3.0,
21,1,5,2,,2.0,2.0,,,,
22,1,5,3,6.0,,,,,,
23,1,5,4,,,,,,3.0,
24,2,6,1,1.0,,,,,,
25,2,6,2,,,,,,7.0,
26,2,6,3,,,,5.0,5.0,,
27,2,6,4,1.0,,,,,,
28,2,3,1,,,,,,4.0,
29,2,3,2,,7.0,7.0,,,,
30,2,3,3,,,,2.0,2.0,,
31,2,4,1,,,,6.0,6.0,,
32,2,4,2,,,,,,2.0,
33,2,4,3,,,,6.0,6.0,,
34,,,,,,,,,,
35,Part Family,Part Family,Setup Time,,,,,,,
36,1,1,0,,,,,,,
37,1,2,3,,,,,,,
38,2,1,4,,,,,,,
39,2,2,0,,,,,,,
40,,,,,,,,,,
41,Cell,Cell,Transportation Time,,,,,,,
42,1,1,0,,,,,,,
43,1,2,3,,,,,,,
44,2,1,4,,,,,,,
45,2,2,0,,,,,,,
46,,,,,,,,,,
47,Job,Due Date,,,,,,,,
48,1,98,,,,,,,,
49,2,77,,,,,,,,
50,5,48,,,,,,,,
51,6,2,,,,,,,,
52,3,75,,,,,,,,
53,4,3,,,,,,,,
54,,,,,,,,,,
55,No,Reference_point1,Reference_point2,,,,,,,
56,1,37,36,,,,,,,
57,2,46,51,,,,,,,
58,3,54,43,,,,,,,
59,4,42,55,,,,,,,
60,5,32,48,,,,,,,
61,6,29,39,,,,,,,
62,7,40,56,,,,,,,
63,8,55,49,,,,,,,
64,9,39,48,,,,,,,
65,10,56,50,,,,,,,
66,11,65,36,,,,,,,
67,12,34,42,,,,,,,
68,13,59,37,,,,,,,
69,14,59,41,,,,,,,
70,15,60,54,,,,,,,
71,16,50,50,,,,,,,
72,17,55,34,,,,,,,
73,18,67,52,,,,,,,
74,19,62,35,,,,,,,
75,20,48,46,,,,,,,
76,21,38,56,,,,,,,
77,22,55,42,,,,,,,
78,23,45,49,,,,,,,
79,24,55,44,,,,,,,
80,25,37,42,,,,,,,
81,26,49,37,,,,,,,
82,27,41,49,,,,,,,
83,28,43,37,,,,,,,
84,29,65,35,,,,,,,
85,30,66,45,,,,,,,
86,31,53,35,,,,,,,
87,32,32,38,,,,,,,
88,33,31,41,,,,,,,
89,34,49,41,,,,,,,
90,35,67,54,,,,,,,
91,36,59,39,,,,,,,
92,37,32,38,,,,,,,
93,38,45,55,,,,,,,
94,39,44,51,,,,,,,
95,40,65,36,,,,,,,
96,41,47,41,,,,,,,
97,42,30,44,,,,,,,
98,43,42,42,,,,,,,
99,44,42,34,,,,,,,
100,45,52,53,,,,,,,
101,46,62,51,,,,,,,
102,47,31,34,,,,,,,
103,48,63,39,,,,,,,
104,49,62,44,,,,,,,
105,50,40,36,,,,,,,
106,51,33,42,,,,,,,
107,52,46,42,,,,,,,
108,53,50,41,,,,,,,
109,54,30,37,,,,,,,
110,55,38,44,,,,,,,
111,56,58,38,,,,,,,
112,57,33,53,,,,,,,
113,58,67,41,,,,,,,
114,59,67,48,,,,,,,
115,60,62,50,,,,,,,
116,61,65,46,,,,,,,
117,62,55,37,,,,,,,
118,63,28,34,,,,,,,
119,64,33,35,,,,,,,
120,65,39,38,,,,,,,
121,66,31,55,,,,,,,
122,67,46,52,,,,,,,
123,68,67,36,,,,,,,
124,69,61,49,,,,,,,
125,70,64,35,,,,,,,
126,71,40,38,,,,,,,
127,72,57,38,,,,,,,
128,73,31,49,,,,,,,
129,74,53,39,,,,,,,
130,75,29,47,,,,,,,
131,76,37,39,,,,,,,
132,77,52,47,,,,,,,
133,78,35,47,,,,,,,
134,79,55,41,,,,,,,
135,80,41,46,,,,,,,
136,81,34,56,,,,,,,
137,82,62,35,,,,,,,
138,83,42,53,,,,,,,
139,84,56,41,,,,,,,
140,85,62,54,,,,,,,
141,86,46,40,,,,,,,
142,87,57,52,,,,,,,
143,88,43,51,,,,,,,
144,89,59,45,,,,,,,
145,90,31,41,,,,,,,
146,91,43,54,,,,,,,
147,92,29,50,,,,,,,
148,93,66,53,,,,,,,
149,94,40,54,,,,,,,
150,95,53,43,,,,,,,
151,96,45,46,,,,,,,
152,97,41,42,,,,,,,
153,98,63,41,,,,,,,
154,99,41,49,,,,,,,
155,100,60,39,,,,,,,
156,101,67,41,,,,,,,
157,102,43,37,,,,,,,
158,103,31,55,,,,,,,
159,104,47,52,,,,,,,
160,105,36,44,,,,,,,
161,106,59,38,,,,,,,
162,107,37,34,,,,,,,
163,108,33,40,,,,,,,
164,109,65,37,,,,,,,
165,110,31,45,,,,,,,
166,111,48,53,,,,,,,
167,112,54,44,,,,,,,
168,113,45,55,,,,,,,
169,114,65,42,,,,,,,
170,115,64,35,,,,,,,
171,116,44,36,,,,,,,
172,117,55,52,,,,,,,
173,118,42,35,,,,,,,
174,119,48,54,,,,,,,
175,120,53,34,,,,,,,
176,121,43,45,,,,,,,
177,122,54,38,,,,,,,
178,123,52,40,,,,,,,
179,124,39,41,,,,,,,
180,125,37,47,,,,,,,
181,126,42,38,,,,,,,
182,127,51,41,,,,,,,
183,128,57,37,,,,,,,
184,129,54,55,,,,,,,
185,130,56,37,,,,,,,
186,131,28,36,,,,,,,
187,132,64,37,,,,,,,
188,133,29,49,,,,,,,
189,134,47,43,,,,,,,
190,135,54,35,,,,,,,
191,136,58,35,,,,,,,
192,137,48,36,,,,,,,
193,138,32,34,,,,,,,
194,139,35,44,,,,,,,
195,140,60,37,,,,,,,
196,141,53,48,,,,,,,
197,142,33,41,,,,,,,
198,143,55,39,,,,,,,
199,144,48,42,,,,,,,
200,145,31,38,,,,,,,
201,146,44,47,,,,,,,
202,147,34,44,,,,,,,
203,148,28,39,,,,,,,
204,149,51,45,,,,,,,
205,150,34,55,,,,,,,
206,151,59,54,,,,,,,
207,152,55,37,,,,,,,
208,153,61,41,,,,,,,
209,154,54,45,,,,,,,
210,155,36,49,,,,,,,
211,156,66,38,,,,,,,
212,157,32,46,,,,,,,
213,158,48,43,,,,,,,
214,159,67,47,,,,,,,
215,160,47,52,,,,,,,
216,161,34,37,,,,,,,
217,162,41,44,,,,,,,
218,163,55,38,,,,,,,
219,164,63,35,,,,,,,
220,165,31,53,,,,,,,
221,166,46,49,,,,,,,
222,167,39,54,,,,,,,
223,168,43,51,,,,,,,
224,169,65,56,,,,,,,
225,170,47,42,,,,,,,
226,171,51,34,,,,,,,
227,172,33,43,,,,,,,
228,173,37,38,,,,,,,
229,174,46,48,,,,,,,
230,175,66,48,,,,,,,
231,176,38,34,,,,,,,
232,177,28,42,,,,,,,
233,178,59,48,,,,,,,
234,179,50,39,,,,,,,
235,180,46,48,,,,,,,
236,181,44,47,,,,,,,
237,182,44,42,,,,,,,
238,183,37,40,,,,,,,
239,184,64,39,,,,,,,
240,185,34,51,,,,,,,
241,186,46,56,,,,,,,
242,187,31,36,,,,,,,
243,188,36,36,,,,,,,
244,189,67,55,,,,,,,
245,190,36,44,,,,,,,
246,191,57,40,,,,,,,
247,192,31,44,,,,,,,
248,193,51,44,,,,,,,
249,194,55,55,,,,,,,
250,195,31,51,,,,,,,
251,196,36,49,,,,,,,
252,197,49,53,,,,,,,
253,198,65,56,,,,,,,
254,199,52,52,,,,,,,
255,200,34,55,,,,,,,
256,201,40,39,,,,,,,
257,202,46,38,,,,,,,
258,203,33,40,,,,,,,
259,204,64,54,,,,,,,
260,205,34,49,,,,,,,
261,206,54,48,,,,,,,
262,207,29,56,,,,,,,
263,208,63,37,,,,,,,
264,209,48,55,,,,,,,
265,210,58,52,,,,,,,
266,211,52,56,,,,,,,
267,212,33,43,,,,,,,
268,213,49,51,,,,,,,
269,214,46,39,,,,,,,
270,215,34,39,,,,,,,
271,216,48,38,,,,,,,
272,217,59,39,,,,,,,
273,218,34,45,,,,,,,
274,219,59,54,,,,,,,
275,220,41,41,,,,,,,
276,221,49,52,,,,,,,
277,222,58,43,,,,,,,
278,223,31,47,,,,,,,
279,224,54,46,,,,,,,
280,225,66,52,,,,,,,
281,226,46,49,,,,,,,
282,227,28,42,,,,,,,
283,228,41,41,,,,,,,
284,229,31,35,,,,,,,
285,230,54,42,,,,,,,
286,231,60,50,,,,,,,
287,232,56,55,,,,,,,
288,233,34,44,,,,,,,
289,234,61,51,,,,,,,
290,235,61,42,,,,,,,
291,236,42,48,,,,,,,
292,237,52,44,,,,,,,
293,238,37,52,,,,,,,
294,239,37,50,,,,,,,
295,240,40,55,,,,,,,
296,241,32,55,,,,,,,
297,242,38,42,,,,,,,
298,243,59,53,,,,,,,
299,244,34,43,,,,,,,
300,245,64,53,,,,,,,
301,246,44,50,,,,,,,
302,247,36,56,,,,,,,
303,248,48,53,,,,,,,
304,249,30,53,,,,,,,
305,250,39,48,,,,,,,
306,251,57,54,,,,,,,
307,252,55,47,,,,,,,
308,253,45,52,,,,,,,
309,254,31,47,,,,,,,
310,255,32,46,,,,,,,
311,256,31,42,,,,,,,
312,257,58,50,,,,,,,
313,258,38,54,,,,,,,
314,259,45,41,,,,,,,
315,260,32,41,,,,,,,
316,261,39,44,,,,,,,
317,262,62,34,,,,,,,
318,263,66,48,,,,,,,
319,264,45,48,,,,,,,
320,265,65,43,,,,,,,
321,266,57,43,,,,,,,
322,267,45,49,,,,,,,
323,268,36,39,,,,,,,
324,269,37,49,,,,,,,
325,270,65,56,,,,,,,
326,271,58,47,,,,,,,
327,272,39,42,,,,,,,
328,273,57,35,,,,,,,
329,274,66,45,,,,,,,
330,275,56,48,,,,,,,
331,276,43,50,,,,,,,
332,277,56,56,,,,,,,
333,278,41,41,,,,,,,
334,279,28,49,,,,,,,
335,280,52,52,,,,,,,
336,281,43,44,,,,,,,
337,282,52,50,,,,,,,
338,283,59,50,,,,,,,
339,284,65,36,,,,,,,
340,285,48,34,,,,,,,
341,286,54,51,,,,,,,
342,287,44,37,,,,,,,
343,288,50,49,,,,,,,
344,289,34,45,,,,,,,
345,290,39,55,,,,,,,
346,291,55,55,,,,,,,
347,292,64,41,,,,,,,
348,293,28,34,,,,,,,
349,294,55,44,,,,,,,
350,295,41,54,,,,,,,
351,296,36,46,,,,,,,
352,297,30,37,,,,,,,
353,298,51,41,,,,,,,
354,299,67,47,,,,,,,
355,300,50,34,,,,,,,
356,301,32,53,,,,,,,
357,302,67,50,,,,,,,
358,303,66,48,,,,,,,
359,304,41,47,,,,,,,
360,305,43,49,,,,,,,
361,306,34,45,,,,,,,
362,307,44,50,,,,,,,
363,308,32,44,,,,,,,
364,309,48,40,,,,,,,
