,n,6,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,L,2,,,,,,,,,,
1,C,2,,,,,,,,,,
2,m,8,,,,,,,,,,
3,op7,18,,,,,,,,,,
4,N_Cmax,75,,,,,,,,,,
5,N_TT,132,,,,,,,,,,
6,I_Cmax,26,,,,,,,,,,
7,I_TT,0,,,,,,,,,,
8,MaxFES,4500,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,6.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,Alternative(for machine)
13,1,7,1,,,,,,5.0,5.0,,
14,1,7,2,6.0,,,,,,,,
15,1,7,3,,,,5.0,,,,,
16,1,8,1,3.0,,,,,,,,
17,1,8,2,,9.0,9.0,,,,,,
18,1,8,3,,,,4.0,,,,,
19,1,9,1,,5.0,5.0,,,,,,
20,1,9,2,4.0,,,,,,,,
21,1,9,3,,5.0,5.0,,,,,,
22,2,10,1,,,,,9.0,,,,
23,2,10,2,,7.0,7.0,,,,,,
24,2,10,3,,,,,,3.0,3.0,,
25,2,11,1,,,,,,,,3.0,
26,2,11,2,,,,,5.0,,,,
27,2,11,3,,,,,,,,3.0,
28,2,12,1,,,,,,4.0,4.0,,
29,2,12,2,,,,,,,,5.0,
30,2,12,3,,,,,,4.0,4.0,,
31,,,,,,,,,,,,
32,Part Family,Part Family,Setup Time,,,,,,,,,
33,1,1,0,,,,,,,,,
34,1,2,3,,,,,,,,,
35,2,1,4,,,,,,,,,
36,2,2,0,,,,,,,,,
37,,,,,,,,,,,,
38,Cell,Cell,Transportation Time,,,,,,,,,
39,1,1,0,,,,,,,,,
40,1,2,3,,,,,,,,,
41,2,1,4,,,,,,,,,
42,2,2,0,,,,,,,,,
43,,,,,,,,,,,,
44,Job,Due Date,,,,,,,,,,
45,7,5,,,,,,,,,,
46,8,110,,,,,,,,,,
47,9,50,,,,,,,,,,
48,10,8,,,,,,,,,,
49,11,53,,,,,,,,,,
50,12,21,,,,,,,,,,
51,,,,,,,,,,,,
52,No,Reference_point1,Reference_point2,,,,,,,,,
53,1,31,33,,,,,,,,,
54,2,37,38,,,,,,,,,
55,3,41,36,,,,,,,,,
56,4,34,39,,,,,,,,,
57,5,28,37,,,,,,,,,
58,6,26,34,,,,,,,,,
59,7,33,39,,,,,,,,,
60,8,42,37,,,,,,,,,
61,9,32,37,,,,,,,,,
62,10,42,37,,,,,,,,,
63,11,48,33,,,,,,,,,
64,12,29,35,,,,,,,,,
65,13,45,34,,,,,,,,,
66,14,45,35,,,,,,,,,
67,15,45,39,,,,,,,,,
68,16,39,38,,,,,,,,,
69,17,42,33,,,,,,,,,
70,18,49,38,,,,,,,,,
71,19,46,33,,,,,,,,,
72,20,38,36,,,,,,,,,
73,21,32,39,,,,,,,,,
74,22,42,35,,,,,,,,,
75,23,36,37,,,,,,,,,
76,24,42,36,,,,,,,,,
77,25,31,35,,,,,,,,,
78,26,38,34,,,,,,,,,
79,27,34,37,,,,,,,,,
80,28,35,34,,,,,,,,,
81,29,48,33,,,,,,,,,
82,30,49,36,,,,,,,,,
83,31,41,33,,,,,,,,,
84,32,28,34,,,,,,,,,
85,33,28,35,,,,,,,,,
86,34,39,35,,,,,,,,,
87,35,49,39,,,,,,,,,
88,36,45,34,,,,,,,,,
89,37,28,34,,,,,,,,,
90,38,36,39,,,,,,,,,
91,39,35,38,,,,,,,,,
92,40,48,33,,,,,,,,,
93,41,37,35,,,,,,,,,
94,42,27,36,,,,,,,,,
95,43,34,35,,,,,,,,,
96,44,34,33,,,,,,,,,
97,45,40,38,,,,,,,,,
98,46,46,38,,,,,,,,,
99,47,28,33,,,,,,,,,
100,48,47,34,,,,,,,,,
101,49,46,36,,,,,,,,,
102,50,33,33,,,,,,,,,
103,51,29,35,,,,,,,,,
104,52,37,35,,,,,,,,,
105,53,39,35,,,,,,,,,
106,54,27,34,,,,,,,,,
107,55,32,36,,,,,,,,,
108,56,44,34,,,,,,,,,
109,57,29,38,,,,,,,,,
110,58,49,35,,,,,,,,,
111,59,49,37,,,,,,,,,
112,60,46,37,,,,,,,,,
113,61,48,36,,,,,,,,,
114,62,42,34,,,,,,,,,
115,63,26,33,,,,,,,,,
116,64,29,33,,,,,,,,,
117,65,33,34,,,,,,,,,
118,66,27,39,,,,,,,,,
119,67,37,38,,,,,,,,,
120,68,49,33,,,,,,,,,
121,69,46,37,,,,,,,,,
122,70,47,33,,,,,,,,,
123,71,33,34,,,,,,,,,
124,72,43,34,,,,,,,,,
125,73,28,37,,,,,,,,,
126,74,41,34,,,,,,,,,
127,75,26,36,,,,,,,,,
128,76,31,34,,,,,,,,,
129,77,40,37,,,,,,,,,
130,78,30,37,,,,,,,,,
131,79,42,35,,,,,,,,,
132,80,34,36,,,,,,,,,
133,81,30,39,,,,,,,,,
134,82,46,33,,,,,,,,,
135,83,34,38,,,,,,,,,
136,84,42,35,,,,,,,,,
137,85,46,39,,,,,,,,,
138,86,37,35,,,,,,,,,
139,87,43,38,,,,,,,,,
140,88,35,38,,,,,,,,,
141,89,45,36,,,,,,,,,
142,90,27,35,,,,,,,,,
143,91,35,39,,,,,,,,,
144,92,27,38,,,,,,,,,
145,93,49,39,,,,,,,,,
146,94,33,39,,,,,,,,,
147,95,41,35,,,,,,,,,
148,96,36,36,,,,,,,,,
149,97,34,35,,,,,,,,,
150,98,47,35,,,,,,,,,
151,99,33,37,,,,,,,,,
152,100,45,34,,,,,,,,,
153,101,49,35,,,,,,,,,
154,102,35,34,,,,,,,,,
155,103,28,39,,,,,,,,,
156,104,37,38,,,,,,,,,
157,105,31,36,,,,,,,,,
158,106,44,34,,,,,,,,,
159,107,31,33,,,,,,,,,
160,108,29,34,,,,,,,,,
161,109,48,34,,,,,,,,,
162,110,28,36,,,,,,,,,
163,111,38,38,,,,,,,,,
164,112,42,36,,,,,,,,,
165,113,36,39,,,,,,,,,
166,114,48,35,,,,,,,,,
167,115,48,33,,,,,,,,,
168,116,35,33,,,,,,,,,
169,117,42,38,,,,,,,,,
170,118,34,33,,,,,,,,,
171,119,38,39,,,,,,,,,
172,120,41,33,,,,,,,,,
173,121,35,36,,,,,,,,,
174,122,41,34,,,,,,,,,
175,123,40,34,,,,,,,,,
176,124,33,35,,,,,,,,,
177,125,31,37,,,,,,,,,
178,126,34,34,,,,,,,,,
179,127,40,35,,,,,,,,,
180,128,43,34,,,,,,,,,
181,129,41,39,,,,,,,,,
182,130,43,34,,,,,,,,,
183,131,26,33,,,,,,,,,
184,132,47,34,,,,,,,,,
185,133,26,37,,,,,,,,,
186,134,37,35,,,,,,,,,
187,135,41,33,,,,,,,,,
188,136,44,33,,,,,,,,,
189,137,38,33,,,,,,,,,
190,138,28,33,,,,,,,,,
191,139,30,36,,,,,,,,,
192,140,45,34,,,,,,,,,
193,141,41,37,,,,,,,,,
194,142,29,35,,,,,,,,,
195,143,42,34,,,,,,,,,
196,144,38,35,,,,,,,,,
197,145,28,34,,,,,,,,,
198,146,35,37,,,,,,,,,
199,147,30,36,,,,,,,,,
200,148,26,34,,,,,,,,,
201,149,39,36,,,,,,,,,
202,150,30,39,,,,,,,,,
203,151,44,39,,,,,,,,,
204,152,42,33,,,,,,,,,
205,153,45,35,,,,,,,,,
206,154,41,36,,,,,,,,,
207,155,31,37,,,,,,,,,
208,156,49,34,,,,,,,,,
209,157,28,36,,,,,,,,,
210,158,38,35,,,,,,,,,
211,159,49,37,,,,,,,,,
212,160,37,38,,,,,,,,,
213,161,29,33,,,,,,,,,
214,162,33,36,,,,,,,,,
215,163,42,34,,,,,,,,,
216,164,47,33,,,,,,,,,
217,165,28,39,,,,,,,,,
218,166,36,37,,,,,,,,,
219,167,32,39,,,,,,,,,
220,168,35,38,,,,,,,,,
221,169,48,39,,,,,,,,,
222,170,37,35,,,,,,,,,
223,171,39,33,,,,,,,,,
224,172,29,35,,,,,,,,,
225,173,31,34,,,,,,,,,
226,174,37,37,,,,,,,,,
227,175,49,37,,,,,,,,,
228,176,32,33,,,,,,,,,
229,177,26,35,,,,,,,,,
230,178,44,37,,,,,,,,,
231,179,39,34,,,,,,,,,
232,180,37,37,,,,,,,,,
233,181,36,37,,,,,,,,,
234,182,35,35,,,,,,,,,
235,183,31,34,,,,,,,,,
236,184,47,34,,,,,,,,,
237,185,29,38,,,,,,,,,
238,186,37,39,,,,,,,,,
239,187,28,33,,,,,,,,,
240,188,31,33,,,,,,,,,
241,189,49,39,,,,,,,,,
242,190,30,36,,,,,,,,,
243,191,43,34,,,,,,,,,
244,192,28,36,,,,,,,,,
245,193,40,36,,,,,,,,,
246,194,42,39,,,,,,,,,
247,195,28,38,,,,,,,,,
248,196,31,37,,,,,,,,,
249,197,38,39,,,,,,,,,
250,198,48,39,,,,,,,,,
251,199,40,38,,,,,,,,,
252,200,29,39,,,,,,,,,
253,201,33,34,,,,,,,,,
254,202,37,34,,,,,,,,,
255,203,29,34,,,,,,,,,
256,204,48,39,,,,,,,,,
257,205,29,37,,,,,,,,,
258,206,41,37,,,,,,,,,
259,207,26,39,,,,,,,,,
260,208,47,34,,,,,,,,,
261,209,38,39,,,,,,,,,
262,210,44,38,,,,,,,,,
263,211,40,39,,,,,,,,,
264,212,29,35,,,,,,,,,
265,213,38,38,,,,,,,,,
266,214,37,34,,,,,,,,,
267,215,30,34,,,,,,,,,
268,216,38,34,,,,,,,,,
269,217,44,34,,,,,,,,,
270,218,29,36,,,,,,,,,
271,219,45,39,,,,,,,,,
272,220,33,35,,,,,,,,,
273,221,38,38,,,,,,,,,
274,222,44,36,,,,,,,,,
275,223,28,37,,,,,,,,,
276,224,41,36,,,,,,,,,
277,225,49,38,,,,,,,,,
278,226,36,37,,,,,,,,,
279,227,26,35,,,,,,,,,
280,228,34,35,,,,,,,,,
281,229,28,33,,,,,,,,,
282,230,42,35,,,,,,,,,
283,231,45,37,,,,,,,,,
284,232,43,39,,,,,,,,,
285,233,29,36,,,,,,,,,
286,234,46,38,,,,,,,,,
287,235,46,35,,,,,,,,,
288,236,34,37,,,,,,,,,
289,237,40,36,,,,,,,,,
290,238,31,38,,,,,,,,,
291,239,31,37,,,,,,,,,
292,240,33,39,,,,,,,,,
293,241,28,39,,,,,,,,,
294,242,32,35,,,,,,,,,
295,243,44,38,,,,,,,,,
296,244,30,35,,,,,,,,,
297,245,47,38,,,,,,,,,
298,246,36,38,,,,,,,,,
299,247,31,39,,,,,,,,,
300,248,38,38,,,,,,,,,
301,249,27,38,,,,,,,,,
302,250,32,37,,,,,,,,,
303,251,43,39,,,,,,,,,
304,252,42,37,,,,,,,,,
305,253,36,38,,,,,,,,,
306,254,27,36,,,,,,,,,
307,255,28,36,,,,,,,,,
308,256,28,35,,,,,,,,,
309,257,44,38,,,,,,,,,
310,258,32,39,,,,,,,,,
311,259,36,35,,,,,,,,,
312,260,28,35,,,,,,,,,
313,261,32,36,,,,,,,,,
314,262,46,33,,,,,,,,,
315,263,49,37,,,,,,,,,
316,264,36,37,,,,,,,,,
317,265,48,35,,,,,,,,,
318,266,43,35,,,,,,,,,
319,267,36,37,,,,,,,,,
320,268,30,34,,,,,,,,,
