,n,7,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,L,2,,,,,,,,,,,
1,C,3,,,,,,,,,,,
2,m,9,,,,,,,,,,,
3,op9,24,,,,,,,,,,,
4,N_Cmax,86,,,,,,,,,,,
5,N_TT,128,,,,,,,,,,,
6,I_Cmax,29,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,
8,MaxFES,6000,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,Cell
11,,,,1.0,1.0,2.0,2.0,3.0,4.0,7.0,7.0,8.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,Alternative(for machine)
13,1,1,1,4.0,4.0,,,,,,,,
14,1,1,2,,,5.0,5.0,,,,,,
15,1,1,3,,,,,6.0,,,,,
16,1,1,4,,,5.0,5.0,,,,,,
17,1,2,1,,,4.0,4.0,,,,,,
18,1,2,2,3.0,3.0,,,,,,,,
19,1,2,3,,,4.0,4.0,,,,,,
20,1,5,1,,,,,,3.0,,,,
21,1,5,2,,,2.0,2.0,,,,,,
22,1,5,3,6.0,6.0,,,,,,,,
23,1,5,4,,,,,,3.0,,,,
24,1,9,1,,,5.0,5.0,,,,,,
25,1,9,2,4.0,4.0,,,,,,,,
26,1,9,3,,,5.0,5.0,,,,,,
27,2,15,1,,,,,,,,,2.0,
28,2,15,2,,,,,,,4.0,4.0,,
29,2,15,3,,,,,,1.0,,,,
30,2,16,1,,,,,,,5.0,5.0,,
31,2,16,2,,,2.0,2.0,,,,,,
32,2,16,3,,,,,,,,,3.0,
33,2,16,4,,,2.0,2.0,,,,,,
34,2,17,1,,,,,,1.0,,,,
35,2,17,2,,,,,,,1.0,1.0,,
36,2,17,3,,,,,,,,,2.0,
37,,,,,,,,,,,,,
38,Part Family,Part Family,Setup Time,,,,,,,,,,
39,1,1,0,,,,,,,,,,
40,1,2,7,,,,,,,,,,
41,2,1,6,,,,,,,,,,
42,2,2,0,,,,,,,,,,
43,,,,,,,,,,,,,
44,Cell,Cell,Transportation Time,,,,,,,,,,
45,1,1,0,,,,,,,,,,
46,1,2,3,,,,,,,,,,
47,1,3,5,,,,,,,,,,
48,2,1,4,,,,,,,,,,
49,2,2,0,,,,,,,,,,
50,2,3,8,,,,,,,,,,
51,3,1,6,,,,,,,,,,
52,3,2,5,,,,,,,,,,
53,3,3,0,,,,,,,,,,
54,,,,,,,,,,,,,
55,Job,Due Date,,,,,,,,,,,
56,1,98,,,,,,,,,,,
57,2,77,,,,,,,,,,,
58,5,48,,,,,,,,,,,
59,9,50,,,,,,,,,,,
60,15,103,,,,,,,,,,,
61,16,4,,,,,,,,,,,
62,17,13,,,,,,,,,,,
63,,,,,,,,,,,,,
64,No,Reference_point1,Reference_point2,,,,,,,,,,
65,1,37,26,,,,,,,,,,
66,2,45,35,,,,,,,,,,
67,3,52,31,,,,,,,,,,
68,4,41,38,,,,,,,,,,
69,5,32,33,,,,,,,,,,
70,6,30,28,,,,,,,,,,
71,7,40,38,,,,,,,,,,
72,8,52,34,,,,,,,,,,
73,9,38,33,,,,,,,,,,
74,10,53,34,,,,,,,,,,
75,11,62,26,,,,,,,,,,
76,12,34,30,,,,,,,,,,
77,13,56,27,,,,,,,,,,
78,14,56,29,,,,,,,,,,
79,15,57,37,,,,,,,,,,
80,16,48,35,,,,,,,,,,
81,17,53,25,,,,,,,,,,
82,18,63,36,,,,,,,,,,
83,19,59,25,,,,,,,,,,
84,20,47,32,,,,,,,,,,
85,21,38,38,,,,,,,,,,
86,22,53,30,,,,,,,,,,
87,23,44,34,,,,,,,,,,
88,24,52,31,,,,,,,,,,
89,25,37,29,,,,,,,,,,
90,26,47,27,,,,,,,,,,
91,27,41,34,,,,,,,,,,
92,28,42,27,,,,,,,,,,
93,29,62,26,,,,,,,,,,
94,30,63,31,,,,,,,,,,
95,31,51,25,,,,,,,,,,
96,32,33,28,,,,,,,,,,
97,33,32,29,,,,,,,,,,
98,34,48,29,,,,,,,,,,
99,35,63,37,,,,,,,,,,
100,36,56,28,,,,,,,,,,
101,37,32,27,,,,,,,,,,
102,38,44,38,,,,,,,,,,
103,39,43,35,,,,,,,,,,
104,40,62,26,,,,,,,,,,
105,41,46,29,,,,,,,,,,
106,42,31,31,,,,,,,,,,
107,43,41,30,,,,,,,,,,
108,44,41,25,,,,,,,,,,
109,45,50,36,,,,,,,,,,
110,46,58,35,,,,,,,,,,
111,47,32,25,,,,,,,,,,
112,48,60,28,,,,,,,,,,
113,49,59,31,,,,,,,,,,
114,50,39,26,,,,,,,,,,
115,51,33,30,,,,,,,,,,
116,52,45,30,,,,,,,,,,
117,53,48,29,,,,,,,,,,
118,54,31,27,,,,,,,,,,
119,55,38,31,,,,,,,,,,
120,56,55,27,,,,,,,,,,
121,57,33,36,,,,,,,,,,
122,58,63,29,,,,,,,,,,
123,59,63,34,,,,,,,,,,
124,60,58,34,,,,,,,,,,
125,61,61,32,,,,,,,,,,
126,62,53,27,,,,,,,,,,
127,63,29,25,,,,,,,,,,
128,64,33,26,,,,,,,,,,
129,65,39,27,,,,,,,,,,
130,66,31,37,,,,,,,,,,
131,67,45,36,,,,,,,,,,
132,68,63,26,,,,,,,,,,
133,69,58,34,,,,,,,,,,
134,70,60,25,,,,,,,,,,
135,71,40,27,,,,,,,,,,
136,72,55,27,,,,,,,,,,
137,73,31,34,,,,,,,,,,
138,74,51,28,,,,,,,,,,
139,75,30,32,,,,,,,,,,
140,76,37,28,,,,,,,,,,
141,77,50,33,,,,,,,,,,
142,78,35,33,,,,,,,,,,
143,79,52,29,,,,,,,,,,
144,80,41,32,,,,,,,,,,
145,81,35,38,,,,,,,,,,
146,82,59,25,,,,,,,,,,
147,83,41,36,,,,,,,,,,
148,84,53,29,,,,,,,,,,
149,85,58,37,,,,,,,,,,
150,86,45,29,,,,,,,,,,
151,87,54,36,,,,,,,,,,
152,88,42,35,,,,,,,,,,
153,89,56,32,,,,,,,,,,
154,90,31,29,,,,,,,,,,
155,91,42,37,,,,,,,,,,
156,92,30,35,,,,,,,,,,
157,93,62,37,,,,,,,,,,
158,94,39,37,,,,,,,,,,
159,95,51,30,,,,,,,,,,
160,96,44,32,,,,,,,,,,
161,97,41,30,,,,,,,,,,
162,98,59,29,,,,,,,,,,
163,99,40,34,,,,,,,,,,
164,100,57,28,,,,,,,,,,
165,101,63,29,,,,,,,,,,
166,102,42,27,,,,,,,,,,
167,103,32,38,,,,,,,,,,
168,104,45,36,,,,,,,,,,
169,105,36,31,,,,,,,,,,
170,106,56,27,,,,,,,,,,
171,107,37,25,,,,,,,,,,
172,108,34,28,,,,,,,,,,
173,109,62,27,,,,,,,,,,
174,110,32,31,,,,,,,,,,
175,111,47,36,,,,,,,,,,
176,112,52,31,,,,,,,,,,
177,113,44,38,,,,,,,,,,
178,114,62,30,,,,,,,,,,
179,115,61,25,,,,,,,,,,
180,116,43,26,,,,,,,,,,
181,117,52,36,,,,,,,,,,
182,118,41,25,,,,,,,,,,
183,119,46,37,,,,,,,,,,
184,120,50,25,,,,,,,,,,
185,121,42,31,,,,,,,,,,
186,122,51,27,,,,,,,,,,
187,123,50,28,,,,,,,,,,
188,124,39,29,,,,,,,,,,
189,125,36,33,,,,,,,,,,
190,126,42,27,,,,,,,,,,
191,127,49,29,,,,,,,,,,
192,128,54,27,,,,,,,,,,
193,129,51,38,,,,,,,,,,
194,130,54,27,,,,,,,,,,
195,131,29,26,,,,,,,,,,
196,132,60,27,,,,,,,,,,
197,133,30,34,,,,,,,,,,
198,134,46,30,,,,,,,,,,
199,135,51,26,,,,,,,,,,
200,136,55,25,,,,,,,,,,
201,137,47,26,,,,,,,,,,
202,138,33,25,,,,,,,,,,
203,139,35,31,,,,,,,,,,
204,140,57,27,,,,,,,,,,
205,141,51,33,,,,,,,,,,
206,142,33,29,,,,,,,,,,
207,143,52,28,,,,,,,,,,
208,144,47,30,,,,,,,,,,
209,145,32,27,,,,,,,,,,
210,146,43,33,,,,,,,,,,
211,147,34,31,,,,,,,,,,
212,148,29,28,,,,,,,,,,
213,149,49,31,,,,,,,,,,
214,150,35,38,,,,,,,,,,
215,151,56,37,,,,,,,,,,
216,152,52,26,,,,,,,,,,
217,153,58,29,,,,,,,,,,
218,154,51,31,,,,,,,,,,
219,155,36,34,,,,,,,,,,
220,156,63,27,,,,,,,,,,
221,157,32,32,,,,,,,,,,
222,158,46,30,,,,,,,,,,
223,159,63,33,,,,,,,,,,
224,160,45,36,,,,,,,,,,
225,161,34,26,,,,,,,,,,
226,162,40,31,,,,,,,,,,
227,163,52,27,,,,,,,,,,
228,164,60,25,,,,,,,,,,
229,165,32,37,,,,,,,,,,
230,166,45,34,,,,,,,,,,
231,167,39,37,,,,,,,,,,
232,168,42,35,,,,,,,,,,
