n;14;;;;;;;;;;;;;;;
L;4;;;;;;;;;;;;;;;
C;4;;;;;;;;;;;;;;;
m;13;;;;;;;;;;;;;;;
op20;45;;;;;;;;;;;;;;;
N_Cmax;114;;;;;;;;;;;;;;;
N_TT;445;;;;;;;;;;;;;;;
I_Cmax;35;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;
MaxFES;11000;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;2;3;3;3;4;4;Cell
;;;1;2;2;5;3;4;4;6;7;7;8;9;10;Machine
Part Family;Job;Operation no;1;1;2;1;1;1;2;1;1;2;1;1;1;Alternative(for machine)
1;1;1;4;;;;;;;;;;;;;
1;1;2;;5;5;;;;;;;;;;;
1;1;3;;;;;6;;;;;;;;;
1;1;4;;5;5;;;;;;;;;;;
1;5;1;;;;;;3;3;;;;;;;
1;5;2;;2;2;;;;;;;;;;;
1;5;3;6;;;;;;;;;;;;;
1;5;4;;;;;;3;3;;;;;;;
1;7;1;;;;;;5;5;;;;;;;
1;7;2;6;;;;;;;;;;;;;
1;7;3;;;;5;;;;;;;;;;
1;9;1;;5;5;;;;;;;;;;;
1;9;2;4;;;;;;;;;;;;;
1;9;3;;5;5;;;;;;;;;;;
2;6;1;1;;;;;;;;;;;;;
2;6;2;;;;;;7;7;;;;;;;
2;6;3;;;;;5;;;;;;;;;
2;6;4;1;;;;;;;;;;;;;
2;3;1;;;;;;4;4;;;;;;;
2;3;2;;7;7;;;;;;;;;;;
2;3;3;;;;;2;;;;;;;;;
2;10;1;;;;;9;;;;;;;;;
2;10;2;;7;7;;;;;;;;;;;
2;10;3;;;;;;3;3;;;;;;;
2;11;1;;;;;;;;3;;;;;;
2;11;2;;;;;5;;;;;;;;;
2;11;3;;;;;;;;3;;;;;;
2;12;1;;;;;;4;4;;;;;;;
2;12;2;;;;;;;;5;;;;;;
2;12;3;;;;;;4;4;;;;;;;
3;15;1;;;;;;;;;;;2;;;
3;15;2;;;;;;;;;4;4;;;;
3;15;3;;;;;;1;1;;;;;;;
3;16;1;;;;;;;;;5;5;;;;
3;16;2;;2;2;;;;;;;;;;;
3;16;3;;;;;;;;;;;3;;;
3;16;4;;2;2;;;;;;;;;;;
3;17;1;;;;;;1;1;;;;;;;
3;17;2;;;;;;;;;1;1;;;;
3;17;3;;;;;;;;;;;2;;;
4;18;1;;;;;;;;;;;;;6;
4;18;2;;;;;;;;;;;;4;;
4;19;1;;;;;;;;;;;;3;;
4;19;2;;;;;;;;;6;6;;;;
4;19;3;;;;;;;;;;;;;2;
;;;;;;;;;;;;;;;;
Part Family;Part Family;Setup Time;;;;;;;;;;;;;;
1;1;0;;;;;;;;;;;;;;
1;2;3;;;;;;;;;;;;;;
1;3;7;;;;;;;;;;;;;;
1;4;4;;;;;;;;;;;;;;
2;1;4;;;;;;;;;;;;;;
2;2;0;;;;;;;;;;;;;;
2;3;4;;;;;;;;;;;;;;
2;4;2;;;;;;;;;;;;;;
3;1;6;;;;;;;;;;;;;;
3;2;5;;;;;;;;;;;;;;
3;3;0;;;;;;;;;;;;;;
3;4;5;;;;;;;;;;;;;;
4;1;7;;;;;;;;;;;;;;
4;2;5;;;;;;;;;;;;;;
4;3;2;;;;;;;;;;;;;;
4;4;0;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Cell;Cell;Transportation Time;;;;;;;;;;;;;;
1;1;0;;;;;;;;;;;;;;
1;2;3;;;;;;;;;;;;;;
1;3;5;;;;;;;;;;;;;;
1;4;4;;;;;;;;;;;;;;
2;1;4;;;;;;;;;;;;;;
2;2;0;;;;;;;;;;;;;;
2;3;8;;;;;;;;;;;;;;
2;4;5;;;;;;;;;;;;;;
3;1;6;;;;;;;;;;;;;;
3;2;5;;;;;;;;;;;;;;
3;3;0;;;;;;;;;;;;;;
3;4;3;;;;;;;;;;;;;;
4;1;5;;;;;;;;;;;;;;
4;2;4;;;;;;;;;;;;;;
4;3;3;;;;;;;;;;;;;;
4;4;0;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Job;Due Date;;;;;;;;;;;;;;;
1;98;;;;;;;;;;;;;;;
5;48;;;;;;;;;;;;;;;
7;5;;;;;;;;;;;;;;;
9;50;;;;;;;;;;;;;;;
6;2;;;;;;;;;;;;;;;
3;75;;;;;;;;;;;;;;;
10;8;;;;;;;;;;;;;;;
11;53;;;;;;;;;;;;;;;
12;21;;;;;;;;;;;;;;;
15;103;;;;;;;;;;;;;;;
16;4;;;;;;;;;;;;;;;
17;13;;;;;;;;;;;;;;;
18;67;;;;;;;;;;;;;;;
19;15;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
No;Reference_point1;Reference_point2;;;;;;;;;;;;;;
1;45;96;;;;;;;;;;;;;;
2;55;168;;;;;;;;;;;;;;
3;63;131;;;;;;;;;;;;;;
4;50;186;;;;;;;;;;;;;;
5;39;154;;;;;;;;;;;;;;
6;36;111;;;;;;;;;;;;;;
7;48;191;;;;;;;;;;;;;;
8;64;155;;;;;;;;;;;;;;
9;47;151;;;;;;;;;;;;;;
10;65;160;;;;;;;;;;;;;;
11;75;94;;;;;;;;;;;;;;
12;41;125;;;;;;;;;;;;;;
13;69;102;;;;;;;;;;;;;;
14;69;117;;;;;;;;;;;;;;
15;70;180;;;;;;;;;;;;;;
16;58;162;;;;;;;;;;;;;;
17;65;85;;;;;;;;;;;;;;
18;77;171;;;;;;;;;;;;;;
19;71;90;;;;;;;;;;;;;;
20;57;141;;;;;;;;;;;;;;
21;46;192;;;;;;;;;;;;;;
22;64;126;;;;;;;;;;;;;;
23;53;157;;;;;;;;;;;;;;
24;64;135;;;;;;;;;;;;;;
25;45;122;;;;;;;;;;;;;;
26;57;102;;;;;;;;;;;;;;
27;49;159;;;;;;;;;;;;;;
28;51;100;;;;;;;;;;;;;;
29;75;93;;;;;;;;;;;;;;
30;76;137;;;;;;;;;;;;;;
31;62;89;;;;;;;;;;;;;;
32;40;107;;;;;;;;;;;;;;
33;38;117;;;;;;;;;;;;;;
34;58;117;;;;;;;;;;;;;;
35;77;179;;;;;;;;;;;;;;
36;69;108;;;;;;;;;;;;;;
37;39;103;;;;;;;;;;;;;;
38;53;188;;;;;;;;;;;;;;
39;52;168;;;;;;;;;;;;;;
40;75;97;;;;;;;;;;;;;;
41;56;118;;;;;;;;;;;;;;
42;37;135;;;;;;;;;;;;;;
43;50;126;;;;;;;;;;;;;;
44;50;84;;;;;;;;;;;;;;
45;61;175;;;;;;;;;;;;;;
46;71;168;;;;;;;;;;;;;;
47;38;86;;;;;;;;;;;;;;
48;73;108;;;;;;;;;;;;;;
49;72;135;;;;;;;;;;;;;;
50;47;97;;;;;;;;;;;;;;
51;40;124;;;;;;;;;;;;;;
52;55;124;;;;;;;;;;;;;;
53;58;117;;;;;;;;;;;;;;
54;37;102;;;;;;;;;;;;;;
55;46;131;;;;;;;;;;;;;;
56;67;103;;;;;;;;;;;;;;
57;40;176;;;;;;;;;;;;;;
58;77;118;;;;;;;;;;;;;;
59;77;154;;;;;;;;;;;;;;
60;71;160;;;;;;;;;;;;;;
61;75;142;;;;;;;;;;;;;;
62;64;101;;;;;;;;;;;;;;
63;35;86;;;;;;;;;;;;;;
64;40;92;;;;;;;;;;;;;;
65;47;106;;;;;;;;;;;;;;
66;38;184;;;;;;;;;;;;;;
67;55;173;;;;;;;;;;;;;;
68;77;97;;;;;;;;;;;;;;
69;71;159;;;;;;;;;;;;;;
70;74;89;;;;;;;;;;;;;;
71;48;106;;;;;;;;;;;;;;
72;67;103;;;;;;;;;;;;;;
73;38;158;;;;;;;;;;;;;;
74;62;109;;;;;;;;;;;;;;
75;36;145;;;;;;;;;;;;;;
76;45;108;;;;;;;;;;;;;;
77;61;149;;;;;;;;;;;;;;
78;42;147;;;;;;;;;;;;;;
79;64;118;;;;;;;;;;;;;;
80;50;142;;;;;;;;;;;;;;
81;42;192;;;;;;;;;;;;;;
82;72;90;;;;;;;;;;;;;;
83;50;174;;;;;;;;;;;;;;
84;65;118;;;;;;;;;;;;;;
85;71;179;;;;;;;;;;;;;;
86;55;115;;;;;;;;;;;;;;
87;66;171;;;;;;;;;;;;;;
88;51;164;;;;;;;;;;;;;;
89;69;139;;;;;;;;;;;;;;
90;38;120;;;;;;;;;;;;;;
91;51;181;;;;;;;;;;;;;;
92;36;162;;;;;;;;;;;;;;
93;76;177;;;;;;;;;;;;;;
94;48;179;;;;;;;;;;;;;;
95;62;128;;;;;;;;;;;;;;
96;53;142;;;;;;;;;;;;;;
97;49;125;;;;;;;;;;;;;;
98;72;119;;;;;;;;;;;;;;
99;49;158;;;;;;;;;;;;;;
100;70;111;;;;;;;;;;;;;;
101;77;119;;;;;;;;;;;;;;
102;51;100;;;;;;;;;;;;;;
103;39;187;;;;;;;;;;;;;;
104;55;173;;;;;;;;;;;;;;
105;44;132;;;;;;;;;;;;;;
106;68;102;;;;;;;;;;;;;;
107;45;85;;;;;;;;;;;;;;
108;41;114;;;;;;;;;;;;;;
109;75;100;;;;;;;;;;;;;;
110;39;137;;;;;;;;;;;;;;
111;57;174;;;;;;;;;;;;;;
112;63;132;;;;;;;;;;;;;;
113;53;186;;;;;;;;;;;;;;
114;75;123;;;;;;;;;;;;;;
115;74;90;;;;;;;;;;;;;;
116;52;96;;;;;;;;;;;;;;
117;64;173;;;;;;;;;;;;;;
118;50;90;;;;;;;;;;;;;;
