,n,24,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,L,4,,,,,,,,,,,,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,,,,,,,,,,,,
2,m,22,,,,,,,,,,,,,,,,,,,,,,,,
3,op26,96,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,145,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,1130,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,51,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,24000,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,Cell
11,,,,1.0,2.0,2.0,2.0,5.0,19.0,3.0,3.0,3.0,4.0,6.0,20.0,7.0,8.0,8.0,8.0,13.0,14.0,9.0,10.0,11.0,12.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
14,1,2,2,3.0,,,,,,,,,,,,,,,,,,,,,,
15,1,2,3,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
16,1,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,
17,1,8,2,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,
18,1,8,3,,,,,4.0,,,,,,,,,,,,,,,,,,
19,1,38,1,,,,,,3.0,,,,,,,,,,,,,,,,,
20,1,38,2,,,,,4.0,,,,,,,,,,,,,,,,,,
21,1,38,3,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
22,1,38,4,,,,,4.0,,,,,,,,,,,,,,,,,,
23,1,39,1,,,,,,,,,,,,2.0,,,,,,,,,,,
24,1,39,2,,,,,,5.0,,,,,,,,,,,,,,,,,
25,1,39,3,4.0,,,,,,,,,,,,,,,,,,,,,,
26,1,39,4,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
27,1,39,5,,,,,,,,,,,,2.0,,,,,,,,,,,
28,1,40,1,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
29,1,40,2,,,,,,7.0,,,,,,,,,,,,,,,,,
30,1,40,3,5.0,,,,,,,,,,,,,,,,,,,,,,
31,1,40,4,,,,,,7.0,,,,,,,,,,,,,,,,,
32,1,44,1,,,,,3.0,,,,,,,,,,,,,,,,,,
33,1,44,2,,,,,,,,,,,,,,,,,4.0,,,,,,
34,1,44,3,,,,,,1.0,,,,,,,,,,,,,,,,,
35,1,44,4,5.0,,,,,,,,,,,,,,,,,,,,,,
