,n,25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op27,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Cell
11,,,,1.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,13.0,14.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,15.0,16.0,16.0,16.0,16.0,17.0,18.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,2,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,3,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,1,4,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,2,1,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,2,3,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,5,1,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
21,1,5,2,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,5,3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,5,4,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
24,1,7,1,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
25,1,7,2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,7,3,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,8,2,,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,8,3,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,3,1,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
31,2,3,2,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,3,3,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,4,1,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,4,2,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
35,2,4,3,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,6,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,6,2,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
38,2,6,3,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,6,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,10,1,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,10,2,,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,10,3,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
43,2,11,1,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
44,2,11,2,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,11,3,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
46,2,11,4,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,22,1,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
48,2,22,2,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,22,3,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
50,2,22,4,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3,25,1,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
52,3,25,2,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,
53,3,25,3,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
54,3,25,4,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,
55,3,26,1,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
56,3,26,2,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
57,3,26,3,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
58,3,26,4,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
59,3,28,1,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
60,3,28,2,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
61,3,28,3,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
62,3,28,4,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
63,3,29,1,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,
64,3,29,2,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
65,3,29,3,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
66,3,29,4,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
67,3,30,1,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,
68,3,30,2,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,
69,3,30,3,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
70,3,30,4,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,
71,4,32,1,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
72,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
73,4,32,3,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
74,4,32,4,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
75,4,33,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
76,4,33,2,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,
77,4,33,3,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
78,4,33,4,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,
79,4,19,1,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,
80,4,19,2,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
81,4,19,3,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
82,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,
83,4,20,2,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,
84,4,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
85,4,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
86,4,21,2,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,
87,4,21,3,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
88,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,
89,5,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
90,5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
91,5,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
92,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
93,5,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,
94,5,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
95,5,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,
96,5,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
97,5,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,
98,5,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
99,5,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
100,5,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
101,5,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,
102,5,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
