,n,25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op28,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Cell
11,,,,1.0,2.0,2.0,2.0,2.0,5.0,19.0,3.0,4.0,6.0,6.0,6.0,6.0,20.0,7.0,8.0,8.0,8.0,8.0,13.0,14.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,Alternative(for machine)
13,1,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,8,2,,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,8,3,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,38,1,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,38,2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,38,3,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,38,4,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,39,1,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
21,1,39,2,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,39,3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,39,4,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,40,1,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,40,2,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,40,3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,40,4,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,44,1,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,44,2,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
30,1,44,3,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,44,4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,31,1,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,
33,2,31,2,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,31,3,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,31,4,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
36,2,41,1,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
37,2,41,2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,41,3,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
39,2,41,4,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
40,2,42,1,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,42,2,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
42,2,42,3,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,42,4,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
44,2,43,1,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
45,2,43,2,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,43,3,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
47,2,43,4,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,12,1,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,12,2,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
50,2,12,3,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3,25,1,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
52,3,25,2,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,
53,3,25,3,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
54,3,25,4,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,
55,3,26,1,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
56,3,26,2,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
57,3,26,3,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
58,3,26,4,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
59,3,28,1,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
60,3,28,2,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
61,3,28,3,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
62,3,28,4,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
63,3,29,1,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,
64,3,29,2,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
65,3,29,3,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
66,3,29,4,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
67,3,30,1,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,
68,3,30,2,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,
69,3,30,3,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
70,4,30,4,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,
71,4,32,1,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
72,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
73,4,32,3,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
74,4,32,4,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,
75,4,33,1,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,
76,4,33,2,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
77,4,33,3,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
78,4,33,4,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
79,4,19,1,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
80,4,19,2,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
81,4,19,3,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
82,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,
83,4,20,2,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
84,4,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
85,4,20,4,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,,,,,,,,,
86,4,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
87,4,21,2,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
88,4,21,3,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,
89,5,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
90,5,45,2,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,
91,5,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
92,5,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,,
93,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
94,5,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
95,5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
96,5,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,
97,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,
98,5,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
99,5,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
100,5,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,
101,5,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
102,5,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,
103,5,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
104,5,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
105,5,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
106,5,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,
107,5,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
108,5,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
