,n,27,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op31,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Cell
11,,,,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0,13.0,14.0,9.0,10.0,10.0,10.0,11.0,12.0,15.0,16.0,16.0,16.0,17.0,18.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,2,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1,3,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
16,1,1,4,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,1,5,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
18,1,1,6,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,2,1,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2,2,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,2,3,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,2,4,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,2,5,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,5,1,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
25,1,5,2,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,5,3,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,5,4,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
28,1,5,5,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,5,6,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
30,1,7,1,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,
31,1,7,2,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,7,3,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
33,1,7,4,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,
34,1,7,5,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,8,1,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,8,2,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,8,3,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
38,1,8,4,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,8,5,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,3,1,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
41,2,3,2,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,3,3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
43,2,3,4,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,3,5,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
45,2,4,1,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
46,2,4,2,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
47,2,4,3,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
48,2,4,4,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
49,2,4,5,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
50,2,6,1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,6,2,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
52,2,6,3,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
53,2,6,4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2,6,5,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
55,2,6,6,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,10,1,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
57,2,10,2,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,2,10,3,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
59,2,10,4,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,10,5,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
61,2,11,1,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
62,2,11,2,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
63,2,11,3,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
64,2,11,4,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
65,2,11,5,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
66,2,11,6,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
67,2,22,1,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
68,2,22,2,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
69,2,22,3,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
70,2,22,4,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
71,3,25,1,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
72,3,25,2,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,
73,3,25,3,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
74,3,25,4,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,
75,3,25,5,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
76,3,25,6,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,
77,3,26,1,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
78,3,26,2,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,
79,3,26,3,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
80,3,26,4,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
81,3,28,1,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
82,3,28,2,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
83,3,28,3,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
84,3,28,4,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
85,3,28,5,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,
86,3,28,6,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
87,3,29,1,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,
88,3,29,2,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
89,3,29,3,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
90,3,29,4,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
91,3,47,1,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,
92,3,47,2,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,
93,3,47,3,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
94,3,47,4,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,
95,3,47,5,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
96,3,48,1,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
97,3,48,2,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
98,3,48,3,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
99,3,30,1,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
100,3,30,2,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,
101,3,30,3,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
102,3,30,4,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,
103,3,30,5,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
104,4,32,1,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,
105,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
106,4,32,3,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
107,4,32,4,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
108,4,32,5,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,
109,4,33,1,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
110,4,33,2,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,
111,4,33,3,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,
112,4,33,4,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,
113,4,33,5,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,
114,4,19,1,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
115,4,19,2,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
116,4,19,3,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,
117,4,20,1,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
118,4,20,2,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,
119,4,20,3,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
120,4,20,4,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,
121,4,21,1,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
122,4,21,2,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
123,4,21,3,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
124,4,21,4,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
125,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,
126,5,34,2,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
127,5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
128,5,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
129,5,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,
130,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
131,5,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,
132,5,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
