,n,30,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op35,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,Cell
11,,,,1.0,2.0,5.0,5.0,19.0,3.0,4.0,6.0,6.0,20.0,7.0,8.0,13.0,14.0,14.0,14.0,9.0,9.0,9.0,10.0,11.0,12.0,15.0,16.0,17.0,18.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Alternative(for machine)
13,1,7,1,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
14,1,7,2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,7,3,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
16,1,8,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,8,2,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,8,3,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
19,1,38,1,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
20,1,38,2,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
21,1,38,3,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,38,4,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
23,1,39,1,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
24,1,39,2,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
25,1,39,3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,39,4,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,40,1,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,40,2,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
29,1,40,3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,40,4,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
31,1,44,1,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
32,1,44,2,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
33,1,44,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
34,1,44,4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,31,1,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
36,2,31,2,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
37,2,31,3,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
38,2,31,4,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,
39,2,41,1,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,
40,2,41,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
41,2,41,3,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,
42,2,41,4,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
43,2,42,1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
44,2,42,2,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
45,2,42,3,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
46,2,42,4,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,
47,2,43,1,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
48,2,43,2,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
49,2,43,3,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,
50,2,43,4,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
51,2,12,1,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
52,2,12,2,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,
53,2,12,3,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
54,3,25,1,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
55,3,25,2,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
56,3,25,3,,,,,,,,,,,,,,9.0,9.0,9.0,,,,,,,,,,,
57,3,25,4,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
58,3,26,1,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,
59,3,26,2,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
60,3,26,3,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
61,3,26,4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
62,3,28,1,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
63,3,28,2,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,
64,3,28,3,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
65,3,28,4,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,
66,3,29,1,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,
67,3,29,2,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
68,3,29,3,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,
69,3,29,4,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
70,3,30,1,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,
71,3,30,2,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
72,3,30,3,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
73,3,30,4,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
74,3,47,1,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
75,3,47,2,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
76,3,47,3,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,
77,3,47,4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
78,3,48,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
79,3,48,2,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
80,3,48,3,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,
81,4,32,1,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,
82,4,32,2,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
83,4,32,3,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,
84,4,32,4,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
85,4,33,1,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
86,4,33,2,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,
87,4,33,3,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
88,4,33,4,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,
89,4,46,1,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
90,4,46,2,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,
91,4,46,3,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
92,4,19,1,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,
93,4,19,2,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
94,4,19,3,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
95,4,20,1,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
96,4,20,2,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,
97,4,20,3,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
98,4,21,1,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
99,4,21,2,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,
100,4,21,3,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
101,4,49,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
102,4,49,2,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,
103,4,49,3,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
104,4,49,4,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
105,5,45,1,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
106,5,45,2,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
107,5,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
108,5,45,4,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
109,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
110,5,34,2,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
111,5,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
112,5,34,4,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
113,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
114,5,35,2,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
115,5,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
116,5,36,1,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
117,5,36,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
118,5,36,3,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
119,5,36,4,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
120,5,37,1,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
121,5,37,2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
122,5,37,3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
123,5,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
