,n,12,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,L,2,,,,,,,,,,
1,C,2,,,,,,,,,,
2,m,8,,,,,,,,,,
3,op17,38,,,,,,,,,,
4,N_Cmax,115,,,,,,,,,,
5,N_TT,601,,,,,,,,,,
6,I_Cmax,52,,,,,,,,,,
7,I_TT,0,,,,,,,,,,
8,MaxFES,9500,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,Cell
11,,,,1.0,1.0,2.0,5.0,3.0,4.0,4.0,6.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,Alternative(for machine)
13,1,2,1,,,4.0,,,,,,
14,1,2,2,3.0,3.0,,,,,,,
15,1,2,3,,,4.0,,,,,,
16,1,5,1,,,,,,3.0,3.0,,
17,1,5,2,,,2.0,,,,,,
18,1,5,3,6.0,6.0,,,,,,,
19,1,5,4,,,,,,3.0,3.0,,
20,1,7,1,,,,,,5.0,5.0,,
21,1,7,2,6.0,6.0,,,,,,,
22,1,7,3,,,,5.0,,,,,
23,1,8,1,3.0,3.0,,,,,,,
24,1,8,2,,,9.0,,,,,,
25,1,8,3,,,,4.0,,,,,
26,1,9,1,,,5.0,,,,,,
27,1,9,2,4.0,4.0,,,,,,,
28,1,9,3,,,5.0,,,,,,
29,2,4,1,,,,,6.0,,,,
30,2,4,2,,,,,,2.0,2.0,,
31,2,4,3,,,,,6.0,,,,
32,2,6,1,1.0,1.0,,,,,,,
33,2,6,2,,,,,,7.0,7.0,,
34,2,6,3,,,,,5.0,,,,
35,2,6,4,1.0,1.0,,,,,,,
36,2,10,1,,,,,9.0,,,,
37,2,10,2,,,7.0,,,,,,
38,2,10,3,,,,,,3.0,3.0,,
39,2,11,1,,,,,,,,3.0,
40,2,11,2,,,,,5.0,,,,
41,2,11,3,,,,,,,,3.0,
42,2,11,4,,,,,5.0,,,,
43,2,12,1,,,,,,4.0,4.0,,
44,2,12,2,,,,,,,,5.0,
45,2,12,3,,,,,,4.0,4.0,,
46,2,22,1,,,,,,3.0,3.0,,
47,2,22,2,,,,,8.0,,,,
48,2,22,3,,,,,,3.0,3.0,,
49,2,22,4,,,,,8.0,,,,
50,2,23,1,,,,,,7.0,7.0,,
51,,,,,,,,,,,,
52,Part Family,Part Family,Setup Time,,,,,,,,,
53,1,1,0,,,,,,,,,
54,1,2,3,,,,,,,,,
55,2,1,4,,,,,,,,,
56,2,2,0,,,,,,,,,
57,,,,,,,,,,,,
58,Cell,Cell,Transportation Time,,,,,,,,,
59,1,1,0,,,,,,,,,
60,1,2,3,,,,,,,,,
61,2,1,4,,,,,,,,,
62,2,2,0,,,,,,,,,
63,,,,,,,,,,,,
64,Job,Due Date,,,,,,,,,,
65,2,77,,,,,,,,,,
66,5,48,,,,,,,,,,
67,7,5,,,,,,,,,,
68,8,110,,,,,,,,,,
69,9,50,,,,,,,,,,
70,4,3,,,,,,,,,,
71,6,2,,,,,,,,,,
72,10,8,,,,,,,,,,
73,11,53,,,,,,,,,,
74,12,21,,,,,,,,,,
75,22,11,,,,,,,,,,
76,23,5,,,,,,,,,,
77,,,,,,,,,,,,
78,No,Reference_point1,Reference_point2,,,,,,,,,
79,1,54,129,,,,,,,,,
80,2,56,207,,,,,,,,,
81,3,58,167,,,,,,,,,
82,4,55,227,,,,,,,,,
83,5,53,192,,,,,,,,,
84,6,52,146,,,,,,,,,
85,7,55,232,,,,,,,,,
86,8,58,193,,,,,,,,,
87,9,54,188,,,,,,,,,
88,10,59,199,,,,,,,,,
89,11,61,127,,,,,,,,,
90,12,53,161,,,,,,,,,
91,13,59,136,,,,,,,,,
92,14,59,152,,,,,,,,,
93,15,60,220,,,,,,,,,
94,16,57,200,,,,,,,,,
95,17,58,118,,,,,,,,,
96,18,61,211,,,,,,,,,
97,19,60,124,,,,,,,,,
98,20,57,178,,,,,,,,,
99,21,54,233,,,,,,,,,
100,22,58,162,,,,,,,,,
101,23,56,196,,,,,,,,,
102,24,58,172,,,,,,,,,
103,25,54,158,,,,,,,,,
104,26,57,136,,,,,,,,,
105,27,55,197,,,,,,,,,
106,28,55,135,,,,,,,,,
107,29,61,126,,,,,,,,,
108,30,61,174,,,,,,,,,
109,31,58,122,,,,,,,,,
110,32,53,142,,,,,,,,,
111,33,52,153,,,,,,,,,
112,34,57,152,,,,,,,,,
113,35,61,219,,,,,,,,,
114,36,59,142,,,,,,,,,
115,37,53,137,,,,,,,,,
116,38,56,228,,,,,,,,,
117,39,56,207,,,,,,,,,
118,40,61,131,,,,,,,,,
119,41,56,154,,,,,,,,,
120,42,52,171,,,,,,,,,
121,43,55,162,,,,,,,,,
122,44,55,117,,,,,,,,,
123,45,58,214,,,,,,,,,
124,46,60,207,,,,,,,,,
125,47,52,120,,,,,,,,,
126,48,60,143,,,,,,,,,
127,49,60,172,,,,,,,,,
128,50,55,131,,,,,,,,,
129,51,53,160,,,,,,,,,
130,52,56,160,,,,,,,,,
131,53,57,152,,,,,,,,,
132,54,52,136,,,,,,,,,
133,55,54,168,,,,,,,,,
134,56,59,137,,,,,,,,,
135,57,53,216,,,,,,,,,
136,58,61,154,,,,,,,,,
137,59,61,193,,,,,,,,,
138,60,60,198,,,,,,,,,
139,61,61,180,,,,,,,,,
140,62,58,135,,,,,,,,,
141,63,52,119,,,,,,,,,
142,64,53,125,,,,,,,,,
143,65,54,140,,,,,,,,,
144,66,52,225,,,,,,,,,
145,67,56,213,,,,,,,,,
146,68,61,131,,,,,,,,,
147,69,60,198,,,,,,,,,
148,70,61,123,,,,,,,,,
149,71,55,140,,,,,,,,,
150,72,59,137,,,,,,,,,
151,73,52,196,,,,,,,,,
152,74,58,144,,,,,,,,,
153,75,52,183,,,,,,,,,
154,76,54,142,,,,,,,,,
155,77,58,187,,,,,,,,,
156,78,53,185,,,,,,,,,
157,79,58,153,,,,,,,,,
158,80,55,179,,,,,,,,,
159,81,53,233,,,,,,,,,
160,82,60,123,,,,,,,,,
161,83,55,213,,,,,,,,,
162,84,59,153,,,,,,,,,
163,85,60,219,,,,,,,,,
164,86,56,150,,,,,,,,,
165,87,59,210,,,,,,,,,
166,88,55,203,,,,,,,,,
167,89,59,176,,,,,,,,,
168,90,52,156,,,,,,,,,
169,91,55,221,,,,,,,,,
170,92,52,201,,,,,,,,,
171,93,61,217,,,,,,,,,
172,94,55,219,,,,,,,,,
173,95,58,165,,,,,,,,,
174,96,56,179,,,,,,,,,
175,97,55,161,,,,,,,,,
176,98,60,154,,,,,,,,,
177,99,55,197,,,,,,,,,
178,100,60,147,,,,,,,,,
179,101,61,154,,,,,,,,,
180,102,55,135,,,,,,,,,
181,103,52,228,,,,,,,,,
182,104,56,213,,,,,,,,,
183,105,54,168,,,,,,,,,
184,106,59,137,,,,,,,,,
185,107,54,118,,,,,,,,,
186,108,53,149,,,,,,,,,
187,109,61,134,,,,,,,,,
188,110,52,174,,,,,,,,,
189,111,57,214,,,,,,,,,
190,112,58,169,,,,,,,,,
191,113,56,226,,,,,,,,,
192,114,61,159,,,,,,,,,
193,115,61,123,,,,,,,,,
194,116,56,129,,,,,,,,,
195,117,58,213,,,,,,,,,
196,118,55,124,,,,,,,,,
197,119,57,220,,,,,,,,,
198,120,58,118,,,,,,,,,
199,121,55,173,,,,,,,,,
200,122,58,140,,,,,,,,,
201,123,58,147,,,,,,,,,
202,124,54,156,,,,,,,,,
203,125,54,187,,,,,,,,,
204,126,55,137,,,,,,,,,
205,127,57,155,,,,,,,,,
206,128,59,134,,,,,,,,,
207,129,58,226,,,,,,,,,
208,130,59,135,,,,,,,,,
209,131,52,131,,,,,,,,,
210,132,61,136,,,,,,,,,
211,133,52,196,,,,,,,,,
212,134,56,165,,,,,,,,,
213,135,58,127,,,,,,,,,
214,136,59,124,,,,,,,,,
215,137,57,127,,,,,,,,,
216,138,53,121,,,,,,,,,
217,139,53,171,,,,,,,,,
218,140,60,137,,,,,,,,,
219,141,58,188,,,,,,,,,
220,142,53,154,,,,,,,,,
221,143,58,144,,,,,,,,,
222,144,57,158,,,,,,,,,
223,145,52,141,,,,,,,,,
224,146,56,184,,,,,,,,,
225,147,53,172,,,,,,,,,
226,148,52,147,,,,,,,,,
227,149,57,174,,,,,,,,,
228,150,53,227,,,,,,,,,
229,151,59,220,,,,,,,,,
230,152,58,133,,,,,,,,,
231,153,60,153,,,,,,,,,
232,154,58,175,,,,,,,,,
233,155,54,198,,,,,,,,,
234,156,61,139,,,,,,,,,
235,157,53,180,,,,,,,,,
236,158,57,163,,,,,,,,,
237,159,61,184,,,,,,,,,
238,160,56,210,,,,,,,,,
239,161,53,132,,,,,,,,,
240,162,55,168,,,,,,,,,
241,163,58,139,,,,,,,,,
242,164,60,122,,,,,,,,,
243,165,52,217,,,,,,,,,
244,166,56,197,,,,,,,,,
245,167,54,220,,,,,,,,,
246,168,55,206,,,,,,,,,
247,169,61,232,,,,,,,,,
248,170,56,160,,,,,,,,,
249,171,57,120,,,,,,,,,
250,172,53,163,,,,,,,,,
251,173,54,142,,,,,,,,,
252,174,56,189,,,,,,,,,
253,175,61,188,,,,,,,,,
254,176,54,117,,,,,,,,,
255,177,52,161,,,,,,,,,
256,178,59,192,,,,,,,,,
257,179,57,145,,,,,,,,,
258,180,56,190,,,,,,,,,
259,181,56,187,,,,,,,,,
260,182,56,158,,,,,,,,,
261,183,54,150,,,,,,,,,
262,184,61,144,,,,,,,,,
263,185,53,204,,,,,,,,,
264,186,56,233,,,,,,,,,
265,187,52,130,,,,,,,,,
266,188,54,131,,,,,,,,,
267,189,61,226,,,,,,,,,
268,190,54,171,,,,,,,,,
269,191,59,148,,,,,,,,,
270,192,52,172,,,,,,,,,
271,193,57,170,,,,,,,,,
272,194,58,223,,,,,,,,,
273,195,52,205,,,,,,,,,
274,196,54,197,,,,,,,,,
275,197,57,217,,,,,,,,,
276,198,61,230,,,,,,,,,
277,199,58,209,,,,,,,,,
278,200,53,228,,,,,,,,,
279,201,55,143,,,,,,,,,
280,202,56,141,,,,,,,,,
281,203,53,149,,,,,,,,,
282,204,61,221,,,,,,,,,
283,205,53,194,,,,,,,,,
284,206,58,189,,,,,,,,,
285,207,52,233,,,,,,,,,
286,208,60,134,,,,,,,,,
287,209,57,226,,,,,,,,,
288,210,59,208,,,,,,,,,
289,211,58,232,,,,,,,,,
290,212,53,163,,,,,,,,,
291,213,57,207,,,,,,,,,
292,214,56,143,,,,,,,,,
293,215,53,145,,,,,,,,,
294,216,57,139,,,,,,,,,
295,217,59,146,,,,,,,,,
296,218,53,176,,,,,,,,,
297,219,59,219,,,,,,,,,
298,220,55,153,,,,,,,,,
299,221,57,209,,,,,,,,,
300,222,59,167,,,,,,,,,
301,223,52,185,,,,,,,,,
302,224,58,179,,,,,,,,,
303,225,61,209,,,,,,,,,
304,226,56,196,,,,,,,,,
305,227,52,160,,,,,,,,,
306,228,55,155,,,,,,,,,
307,229,52,125,,,,,,,,,
308,230,58,160,,,,,,,,,
309,231,60,198,,,,,,,,,
310,232,59,224,,,,,,,,,
311,233,53,171,,,,,,,,,
312,234,60,207,,,,,,,,,
313,235,60,162,,,,,,,,,
314,236,55,191,,,,,,,,,
315,237,58,170,,,,,,,,,
