,n,12,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,L,4,,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,,
2,m,12,,,,,,,,,,,,,,
3,op18,38,,,,,,,,,,,,,,
4,N_Cmax,91,,,,,,,,,,,,,,
5,N_TT,338,,,,,,,,,,,,,,
6,I_Cmax,35,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,
8,MaxFES,9500,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,6.0,7.0,8.0,9.0,10.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,,,,,,,,,,
14,1,2,2,3.0,,,,,,,,,,,,
15,1,2,3,,4.0,4.0,,,,,,,,,,
16,1,7,1,,,,,,5.0,5.0,,,,,,
17,1,7,2,6.0,,,,,,,,,,,,
18,1,7,3,,,,5.0,,,,,,,,,
19,1,8,1,3.0,,,,,,,,,,,,
20,1,8,2,,9.0,9.0,,,,,,,,,,
21,1,8,3,,,,4.0,,,,,,,,,
22,2,10,1,,,,,9.0,,,,,,,,
23,2,10,2,,7.0,7.0,,,,,,,,,,
24,2,10,3,,,,,,3.0,3.0,,,,,,
25,2,11,1,,,,,,,,3.0,,,,,
26,2,11,2,,,,,5.0,,,,,,,,
27,2,11,3,,,,,,,,3.0,,,,,
28,2,11,4,,,,,5.0,,,,,,,,
29,2,12,1,,,,,,4.0,4.0,,,,,,
30,2,12,2,,,,,,,,5.0,,,,,
31,2,12,3,,,,,,4.0,4.0,,,,,,
32,2,22,1,,,,,,3.0,3.0,,,,,,
33,2,22,2,,,,,8.0,,,,,,,,
34,2,22,3,,,,,,3.0,3.0,,,,,,
35,2,22,4,,,,,8.0,,,,,,,,
36,3,15,1,,,,,,,,,,2.0,,,
37,3,15,2,,,,,,,,,4.0,,,,
38,3,15,3,,,,,,1.0,1.0,,,,,,
39,3,16,1,,,,,,,,,5.0,,,,
40,3,16,2,,2.0,2.0,,,,,,,,,,
41,3,16,3,,,,,,,,,,3.0,,,
42,3,16,4,,2.0,2.0,,,,,,,,,,
43,3,17,1,,,,,,1.0,1.0,,,,,,
44,3,17,2,,,,,,,,,1.0,,,,
45,3,17,3,,,,,,,,,,2.0,,,
46,4,18,1,,,,,,,,,,,,6.0,
47,4,18,2,,,,,,,,,,,4.0,,
48,4,24,1,,,,,,,,,,,7.0,,
49,4,24,2,,,,,,,,,,,,4.0,
50,4,24,3,,,,,,,,,,,7.0,,
51,,,,,,,,,,,,,,,,
52,Part Family,Part Family,Setup Time,,,,,,,,,,,,,
53,1,1,0,,,,,,,,,,,,,
54,1,2,3,,,,,,,,,,,,,
55,1,3,7,,,,,,,,,,,,,
56,1,4,4,,,,,,,,,,,,,
57,2,1,4,,,,,,,,,,,,,
58,2,2,0,,,,,,,,,,,,,
