,n,15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,L,4,,,,,,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,,,,,,
2,m,16,,,,,,,,,,,,,,,,,,
3,op21,48,,,,,,,,,,,,,,,,,,
4,N_Cmax,110,,,,,,,,,,,,,,,,,,
5,N_TT,348,,,,,,,,,,,,,,,,,,
6,I_Cmax,31,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,
8,MaxFES,12000,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,6.0,7.0,7.0,8.0,9.0,9.0,10.0,11.0,12.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,,,,,,,,,,,
14,1,1,2,,5.0,5.0,,,,,,,,,,,,,,
15,1,1,3,,,,,6.0,,,,,,,,,,,,
16,1,1,4,,5.0,5.0,,,,,,,,,,,,,,
17,1,2,1,,4.0,4.0,,,,,,,,,,,,,,
18,1,2,2,3.0,,,,,,,,,,,,,,,,
19,1,2,3,,4.0,4.0,,,,,,,,,,,,,,
20,1,5,1,,,,,,3.0,3.0,,,,,,,,,,
21,1,5,2,,2.0,2.0,,,,,,,,,,,,,,
22,1,5,3,6.0,,,,,,,,,,,,,,,,
23,1,5,4,,,,,,3.0,3.0,,,,,,,,,,
24,1,7,1,,,,,,5.0,5.0,,,,,,,,,,
25,1,7,2,6.0,,,,,,,,,,,,,,,,
26,1,7,3,,,,5.0,,,,,,,,,,,,,
27,2,6,1,1.0,,,,,,,,,,,,,,,,
28,2,6,2,,,,,,7.0,7.0,,,,,,,,,,
29,2,6,3,,,,,5.0,,,,,,,,,,,,
30,2,6,4,1.0,,,,,,,,,,,,,,,,
31,2,3,1,,,,,,4.0,4.0,,,,,,,,,,
32,2,3,2,,7.0,7.0,,,,,,,,,,,,,,
33,2,3,3,,,,,2.0,,,,,,,,,,,,
34,2,11,1,,,,,,,,3.0,,,,,,,,,
35,2,11,2,,,,,5.0,,,,,,,,,,,,
36,2,11,3,,,,,,,,3.0,,,,,,,,,
37,2,12,1,,,,,,4.0,4.0,,,,,,,,,,
38,2,12,2,,,,,,,,5.0,,,,,,,,,
39,2,12,3,,,,,,4.0,4.0,,,,,,,,,,
40,3,15,1,,,,,,,,,,,2.0,,,,,,
41,3,15,2,,,,,,,,,4.0,4.0,,,,,,,
42,3,15,3,,,,,,1.0,1.0,,,,,,,,,,
43,3,16,1,,,,,,,,,5.0,5.0,,,,,,,
44,3,16,2,,2.0,2.0,,,,,,,,,,,,,,
45,3,16,3,,,,,,,,,,,3.0,,,,,,
46,3,16,4,,2.0,2.0,,,,,,,,,,,,,,
