,n,7,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,L,3,,,,,,,,,,
1,C,3,,,,,,,,,,
2,m,8,,,,,,,,,,
3,op10,24,,,,,,,,,,
4,N_Cmax,95,,,,,,,,,,
5,N_TT,140,,,,,,,,,,
6,I_Cmax,29,,,,,,,,,,
7,I_TT,0,,,,,,,,,,
8,MaxFES,6000,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,Cell
11,,,,1.0,2.0,2.0,3.0,3.0,4.0,7.0,8.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,,,
14,1,1,2,,5.0,5.0,,,,,,
15,1,1,3,,,,6.0,6.0,,,,
16,1,1,4,,5.0,5.0,,,,,,
17,1,2,1,,4.0,4.0,,,,,,
18,1,2,2,3.0,,,,,,,,
19,1,2,3,,4.0,4.0,,,,,,
20,1,5,1,,,,,,3.0,,,
21,1,5,2,,2.0,2.0,,,,,,
22,1,5,3,6.0,,,,,,,,
23,1,5,4,,,,,,3.0,,,
24,2,3,1,,,,,,4.0,,,
25,2,3,2,,7.0,7.0,,,,,,
26,2,3,3,,,,2.0,2.0,,,,
27,2,4,1,,,,6.0,6.0,,,,
28,2,4,2,,,,,,2.0,,,
29,2,4,3,,,,6.0,6.0,,,,
30,3,15,1,,,,,,,,2.0,
31,3,15,2,,,,,,,4.0,,
32,3,15,3,,,,,,1.0,,,
33,3,16,1,,,,,,,5.0,,
34,3,16,2,,2.0,2.0,,,,,,
35,3,16,3,,,,,,,,3.0,
36,3,16,4,,2.0,2.0,,,,,,
37,,,,,,,,,,,,
38,Part Family,Part Family,Setup Time,,,,,,,,,
39,1,1,0,,,,,,,,,
40,1,2,3,,,,,,,,,
41,1,3,7,,,,,,,,,
42,2,1,4,,,,,,,,,
43,2,2,0,,,,,,,,,
44,2,3,4,,,,,,,,,
45,3,1,6,,,,,,,,,
46,3,2,5,,,,,,,,,
47,3,3,0,,,,,,,,,
48,,,,,,,,,,,,
49,Cell,Cell,Transportation Time,,,,,,,,,
50,1,1,0,,,,,,,,,
51,1,2,3,,,,,,,,,
52,1,3,5,,,,,,,,,
53,2,1,4,,,,,,,,,
54,2,2,0,,,,,,,,,
55,2,3,8,,,,,,,,,
56,3,1,6,,,,,,,,,
57,3,2,5,,,,,,,,,
58,3,3,0,,,,,,,,,
59,,,,,,,,,,,,
60,Job,Due Date,,,,,,,,,,
61,1,98,,,,,,,,,,
62,2,77,,,,,,,,,,
63,5,48,,,,,,,,,,
64,3,75,,,,,,,,,,
65,4,3,,,,,,,,,,
66,15,103,,,,,,,,,,
67,16,4,,,,,,,,,,
68,,,,,,,,,,,,
69,No,Reference_point1,Reference_point2,,,,,,,,,
70,1,37,38,,,,,,,,,
71,2,44,52,,,,,,,,,
72,3,51,45,,,,,,,,,
73,4,41,55,,,,,,,,,
74,5,32,49,,,,,,,,,
75,6,29,41,,,,,,,,,
76,7,39,56,,,,,,,,,
77,8,52,49,,,,,,,,,
78,9,38,48,,,,,,,,,
79,10,52,50,,,,,,,,,
80,11,61,37,,,,,,,,,
81,12,34,44,,,,,,,,,
82,13,56,39,,,,,,,,,
83,14,55,42,,,,,,,,,
84,15,56,54,,,,,,,,,
85,16,47,51,,,,,,,,,
86,17,52,36,,,,,,,,,
87,18,62,52,,,,,,,,,
88,19,58,37,,,,,,,,,
89,20,46,47,,,,,,,,,
90,21,38,56,,,,,,,,,
91,22,52,44,,,,,,,,,
92,23,43,50,,,,,,,,,
93,24,52,45,,,,,,,,,
94,25,37,43,,,,,,,,,
95,26,46,39,,,,,,,,,
96,27,40,50,,,,,,,,,
97,28,42,39,,,,,,,,,
98,29,61,37,,,,,,,,,
99,30,62,46,,,,,,,,,
100,31,50,36,,,,,,,,,
101,32,33,40,,,,,,,,,
102,33,31,42,,,,,,,,,
103,34,47,42,,,,,,,,,
104,35,62,54,,,,,,,,,
105,36,56,40,,,,,,,,,
106,37,32,39,,,,,,,,,
107,38,43,56,,,,,,,,,
108,39,42,52,,,,,,,,,
109,40,61,38,,,,,,,,,
110,41,45,42,,,,,,,,,
111,42,31,45,,,,,,,,,
112,43,41,44,,,,,,,,,
113,44,41,36,,,,,,,,,
114,45,50,53,,,,,,,,,
115,46,58,52,,,,,,,,,
116,47,32,36,,,,,,,,,
117,48,59,40,,,,,,,,,
118,49,58,46,,,,,,,,,
119,50,39,38,,,,,,,,,
120,51,33,43,,,,,,,,,
121,52,45,43,,,,,,,,,
122,53,47,42,,,,,,,,,
123,54,31,39,,,,,,,,,
124,55,37,45,,,,,,,,,
125,56,54,39,,,,,,,,,
126,57,33,53,,,,,,,,,
127,58,62,42,,,,,,,,,
128,59,62,49,,,,,,,,,
129,60,58,50,,,,,,,,,
130,61,61,47,,,,,,,,,
131,62,52,39,,,,,,,,,
132,63,29,36,,,,,,,,,
133,64,33,37,,,,,,,,,
134,65,38,40,,,,,,,,,
135,66,31,55,,,,,,,,,
136,67,45,53,,,,,,,,,
137,68,62,38,,,,,,,,,
138,69,57,50,,,,,,,,,
139,70,60,37,,,,,,,,,
140,71,39,40,,,,,,,,,
141,72,54,39,,,,,,,,,
142,73,31,50,,,,,,,,,
143,74,50,40,,,,,,,,,
144,75,30,47,,,,,,,,,
145,76,37,40,,,,,,,,,
146,77,50,48,,,,,,,,,
147,78,35,48,,,,,,,,,
148,79,52,42,,,,,,,,,
149,80,40,47,,,,,,,,,
150,81,34,56,,,,,,,,,
151,82,58,37,,,,,,,,,
152,83,41,53,,,,,,,,,
153,84,52,42,,,,,,,,,
154,85,58,54,,,,,,,,,
155,86,45,42,,,,,,,,,
156,87,54,52,,,,,,,,,
157,88,41,51,,,,,,,,,
158,89,56,46,,,,,,,,,
159,90,31,43,,,,,,,,,
160,91,42,54,,,,,,,,,
161,92,30,51,,,,,,,,,
162,93,61,54,,,,,,,,,
163,94,39,54,,,,,,,,,
164,95,50,44,,,,,,,,,
165,96,43,47,,,,,,,,,
166,97,40,43,,,,,,,,,
167,98,58,42,,,,,,,,,
168,99,40,50,,,,,,,,,
169,100,56,41,,,,,,,,,
170,101,62,42,,,,,,,,,
171,102,42,39,,,,,,,,,
172,103,32,55,,,,,,,,,
173,104,45,53,,,,,,,,,
174,105,36,45,,,,,,,,,
175,106,55,39,,,,,,,,,
176,107,37,36,,,,,,,,,
177,108,34,41,,,,,,,,,
178,109,61,39,,,,,,,,,
179,110,32,46,,,,,,,,,
180,111,46,53,,,,,,,,,
181,112,51,45,,,,,,,,,
182,113,43,55,,,,,,,,,
183,114,61,43,,,,,,,,,
184,115,60,37,,,,,,,,,
185,116,42,38,,,,,,,,,
186,117,52,53,,,,,,,,,
187,118,41,37,,,,,,,,,
188,119,46,54,,,,,,,,,
189,120,50,36,,,,,,,,,
190,121,41,46,,,,,,,,,
191,122,51,40,,,,,,,,,
192,123,50,41,,,,,,,,,
193,124,39,43,,,,,,,,,
194,125,36,48,,,,,,,,,
195,126,41,39,,,,,,,,,
196,127,48,42,,,,,,,,,
197,128,53,39,,,,,,,,,
198,129,51,55,,,,,,,,,
199,130,53,39,,,,,,,,,
200,131,29,38,,,,,,,,,
201,132,59,39,,,,,,,,,
202,133,30,50,,,,,,,,,
203,134,45,44,,,,,,,,,
204,135,51,37,,,,,,,,,
205,136,55,37,,,,,,,,,
206,137,46,37,,,,,,,,,
207,138,32,36,,,,,,,,,
208,139,35,45,,,,,,,,,
209,140,57,39,,,,,,,,,
210,141,50,48,,,,,,,,,
211,142,33,42,,,,,,,,,
212,143,52,40,,,,,,,,,
213,144,46,43,,,,,,,,,
214,145,31,40,,,,,,,,,
215,146,42,48,,,,,,,,,
216,147,34,45,,,,,,,,,
217,148,29,41,,,,,,,,,
218,149,48,46,,,,,,,,,
219,150,34,55,,,,,,,,,
220,151,55,54,,,,,,,,,
221,152,52,38,,,,,,,,,
222,153,57,42,,,,,,,,,
223,154,51,46,,,,,,,,,
224,155,36,50,,,,,,,,,
225,156,62,40,,,,,,,,,
226,157,32,47,,,,,,,,,
227,158,46,44,,,,,,,,,
228,159,62,48,,,,,,,,,
229,160,45,52,,,,,,,,,
230,161,34,38,,,,,,,,,
231,162,40,45,,,,,,,,,
232,163,52,40,,,,,,,,,
233,164,59,37,,,,,,,,,
234,165,31,54,,,,,,,,,
235,166,44,50,,,,,,,,,
236,167,38,54,,,,,,,,,
237,168,42,52,,,,,,,,,
238,169,60,56,,,,,,,,,
239,170,45,43,,,,,,,,,
240,171,48,36,,,,,,,,,
241,172,33,44,,,,,,,,,
242,173,37,40,,,,,,,,,
243,174,44,49,,,,,,,,,
244,175,61,48,,,,,,,,,
245,176,38,36,,,,,,,,,
246,177,29,43,,,,,,,,,
247,178,55,49,,,,,,,,,
248,179,47,41,,,,,,,,,
249,180,44,49,,,,,,,,,
250,181,43,48,,,,,,,,,
251,182,42,43,,,,,,,,,
252,183,37,41,,,,,,,,,
253,184,59,40,,,,,,,,,
254,185,34,51,,,,,,,,,
255,186,44,56,,,,,,,,,
256,187,31,38,,,,,,,,,
257,188,36,38,,,,,,,,,
258,189,62,55,,,,,,,,,
259,190,36,45,,,,,,,,,
260,191,54,41,,,,,,,,,
261,192,32,46,,,,,,,,,
262,193,48,45,,,,,,,,,
263,194,52,55,,,,,,,,,
264,195,32,51,,,,,,,,,
265,196,36,50,,,,,,,,,
266,197,47,54,,,,,,,,,
267,198,61,56,,,,,,,,,
268,199,49,52,,,,,,,,,
269,200,34,55,,,,,,,,,
270,201,39,40,,,,,,,,,
271,202,45,40,,,,,,,,,
272,203,33,41,,,,,,,,,
273,204,60,54,,,,,,,,,
274,205,34,49,,,,,,,,,
275,206,51,49,,,,,,,,,
276,207,30,56,,,,,,,,,
277,208,59,39,,,,,,,,,
278,209,46,55,,,,,,,,,
279,210,55,52,,,,,,,,,
