,n,8,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,L,4,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,
2,m,11,,,,,,,,,,,,,
3,op11,25,,,,,,,,,,,,,
4,N_Cmax,88,,,,,,,,,,,,,
5,N_TT,140,,,,,,,,,,,,,
6,I_Cmax,29,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,
8,MaxFES,6000,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,Cell
11,,,,1.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0,8.0,9.0,10.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,,,,,,
14,1,1,2,,5.0,5.0,,,,,,,,,
15,1,1,3,,,,6.0,,,,,,,,
16,1,1,4,,5.0,5.0,,,,,,,,,
17,1,2,1,,4.0,4.0,,,,,,,,,
18,1,2,2,3.0,,,,,,,,,,,
19,1,2,3,,4.0,4.0,,,,,,,,,
20,2,3,1,,,,,4.0,4.0,,,,,,
21,2,3,2,,7.0,7.0,,,,,,,,,
22,2,3,3,,,,2.0,,,,,,,,
23,2,4,1,,,,6.0,,,,,,,,
24,2,4,2,,,,,2.0,2.0,,,,,,
25,2,4,3,,,,6.0,,,,,,,,
26,3,15,1,,,,,,,,,2.0,,,
27,3,15,2,,,,,,,4.0,4.0,,,,
28,3,15,3,,,,,1.0,1.0,,,,,,
29,3,16,1,,,,,,,5.0,5.0,,,,
30,3,16,2,,2.0,2.0,,,,,,,,,
31,3,16,3,,,,,,,,,3.0,,,
32,3,16,4,,2.0,2.0,,,,,,,,,
33,4,18,1,,,,,,,,,,,6.0,
34,4,18,2,,,,,,,,,,4.0,,
35,4,19,1,,,,,,,,,,3.0,,
36,4,19,2,,,,,,,6.0,6.0,,,,
37,4,19,3,,,,,,,,,,,2.0,
38,,,,,,,,,,,,,,,
39,Part Family,Part Family,Setup Time,,,,,,,,,,,,
40,1,1,0,,,,,,,,,,,,
41,1,2,3,,,,,,,,,,,,
42,1,3,7,,,,,,,,,,,,
43,1,4,4,,,,,,,,,,,,
44,2,1,4,,,,,,,,,,,,
45,2,2,0,,,,,,,,,,,,
46,2,3,4,,,,,,,,,,,,
47,2,4,2,,,,,,,,,,,,
48,3,1,6,,,,,,,,,,,,
49,3,2,5,,,,,,,,,,,,
50,3,3,0,,,,,,,,,,,,
51,3,4,5,,,,,,,,,,,,
52,4,1,7,,,,,,,,,,,,
53,4,2,5,,,,,,,,,,,,
54,4,3,2,,,,,,,,,,,,
55,4,4,0,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,Cell,Cell,Transportation Time,,,,,,,,,,,,
58,1,1,0,,,,,,,,,,,,
59,1,2,3,,,,,,,,,,,,
60,1,3,5,,,,,,,,,,,,
61,1,4,4,,,,,,,,,,,,
62,2,1,4,,,,,,,,,,,,
63,2,2,0,,,,,,,,,,,,
64,2,3,8,,,,,,,,,,,,
