,n,9,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,L,3,,,,,,,,,,,
1,C,3,,,,,,,,,,,
2,m,9,,,,,,,,,,,
3,op12,30,,,,,,,,,,,
4,N_Cmax,110,,,,,,,,,,,
5,N_TT,313,,,,,,,,,,,
6,I_Cmax,34,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,
8,MaxFES,7500,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,Cell
11,,,,1.0,2.0,2.0,5.0,3.0,4.0,4.0,7.0,8.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,,,,
14,1,1,2,,5.0,5.0,,,,,,,
15,1,1,3,,,,,6.0,,,,,
16,1,1,4,,5.0,5.0,,,,,,,
17,1,7,1,,,,,,5.0,5.0,,,
18,1,7,2,6.0,,,,,,,,,
19,1,7,3,,,,5.0,,,,,,
20,1,8,1,3.0,,,,,,,,,
21,1,8,2,,9.0,9.0,,,,,,,
22,1,8,3,,,,4.0,,,,,,
23,2,6,1,1.0,,,,,,,,,
24,2,6,2,,,,,,7.0,7.0,,,
25,2,6,3,,,,,5.0,,,,,
26,2,6,4,1.0,,,,,,,,,
27,2,3,1,,,,,,4.0,4.0,,,
28,2,3,2,,7.0,7.0,,,,,,,
29,2,3,3,,,,,2.0,,,,,
30,2,4,1,,,,,6.0,,,,,
31,2,4,2,,,,,,2.0,2.0,,,
32,2,4,3,,,,,6.0,,,,,
33,3,15,1,,,,,,,,,2.0,
34,3,15,2,,,,,,,,4.0,,
35,3,15,3,,,,,,1.0,1.0,,,
36,3,16,1,,,,,,,,5.0,,
37,3,16,2,,2.0,2.0,,,,,,,
38,3,16,3,,,,,,,,,3.0,
39,3,16,4,,2.0,2.0,,,,,,,
40,3,17,1,,,,,,1.0,1.0,,,
41,3,17,2,,,,,,,,1.0,,
42,3,17,3,,,,,,,,,2.0,
43,,,,,,,,,,,,,
44,Part Family,Part Family,Setup Time,,,,,,,,,,
45,1,1,0,,,,,,,,,,
46,1,2,3,,,,,,,,,,
47,1,3,7,,,,,,,,,,
48,2,1,4,,,,,,,,,,
49,2,2,0,,,,,,,,,,
50,2,3,4,,,,,,,,,,
51,3,1,6,,,,,,,,,,
52,3,2,5,,,,,,,,,,
53,3,3,0,,,,,,,,,,
54,,,,,,,,,,,,,
55,Cell,Cell,Transportation Time,,,,,,,,,,
56,1,1,0,,,,,,,,,,
57,1,2,3,,,,,,,,,,
58,1,3,5,,,,,,,,,,
59,2,1,4,,,,,,,,,,
60,2,2,0,,,,,,,,,,
61,2,3,8,,,,,,,,,,
62,3,1,6,,,,,,,,,,
63,3,2,5,,,,,,,,,,
64,3,3,0,,,,,,,,,,
65,,,,,,,,,,,,,
66,Job,Due Date,,,,,,,,,,,
67,1,98,,,,,,,,,,,
68,7,5,,,,,,,,,,,
69,8,110,,,,,,,,,,,
70,6,2,,,,,,,,,,,
71,3,75,,,,,,,,,,,
72,4,3,,,,,,,,,,,
73,15,103,,,,,,,,,,,
74,16,4,,,,,,,,,,,
75,17,13,,,,,,,,,,,
76,,,,,,,,,,,,,
77,No,Reference_point1,Reference_point2,,,,,,,,,,
78,1,43,80,,,,,,,,,,
79,2,51,121,,,,,,,,,,
80,3,58,100,,,,,,,,,,
81,4,47,131,,,,,,,,,,
82,5,37,113,,,,,,,,,,
83,6,35,89,,,,,,,,,,
84,7,46,134,,,,,,,,,,
85,8,59,113,,,,,,,,,,
86,9,44,111,,,,,,,,,,
87,10,60,116,,,,,,,,,,
88,11,70,79,,,,,,,,,,
89,12,40,97,,,,,,,,,,
90,13,64,84,,,,,,,,,,
91,14,64,92,,,,,,,,,,
92,15,65,128,,,,,,,,,,
93,16,55,117,,,,,,,,,,
94,17,60,74,,,,,,,,,,
95,18,71,123,,,,,,,,,,
96,19,66,77,,,,,,,,,,
97,20,53,106,,,,,,,,,,
98,21,44,134,,,,,,,,,,
99,22,60,97,,,,,,,,,,
100,23,50,115,,,,,,,,,,
101,24,59,102,,,,,,,,,,
102,25,43,95,,,,,,,,,,
103,26,53,84,,,,,,,,,,
104,27,47,116,,,,,,,,,,
105,28,49,83,,,,,,,,,,
106,29,70,79,,,,,,,,,,
107,30,70,103,,,,,,,,,,
108,31,58,76,,,,,,,,,,
109,32,38,87,,,,,,,,,,
110,33,37,93,,,,,,,,,,
111,34,54,92,,,,,,,,,,
112,35,71,127,,,,,,,,,,
113,36,64,87,,,,,,,,,,
114,37,37,84,,,,,,,,,,
115,38,50,132,,,,,,,,,,
116,39,49,121,,,,,,,,,,
117,40,70,81,,,,,,,,,,
118,41,52,93,,,,,,,,,,
119,42,36,102,,,,,,,,,,
120,43,47,97,,,,,,,,,,
121,44,48,74,,,,,,,,,,
122,45,57,125,,,,,,,,,,
123,46,66,121,,,,,,,,,,
124,47,37,75,,,,,,,,,,
125,48,67,87,,,,,,,,,,
126,49,67,103,,,,,,,,,,
127,50,45,81,,,,,,,,,,
128,51,38,96,,,,,,,,,,
129,52,52,96,,,,,,,,,,
130,53,55,92,,,,,,,,,,
131,54,36,84,,,,,,,,,,
132,55,43,100,,,,,,,,,,
133,56,62,84,,,,,,,,,,
134,57,39,125,,,,,,,,,,
135,58,71,93,,,,,,,,,,
136,59,71,113,,,,,,,,,,
137,60,66,116,,,,,,,,,,
138,61,69,107,,,,,,,,,,
139,62,60,83,,,,,,,,,,
140,63,34,75,,,,,,,,,,
141,64,38,78,,,,,,,,,,
142,65,45,86,,,,,,,,,,
143,66,37,130,,,,,,,,,,
144,67,52,124,,,,,,,,,,
145,68,71,81,,,,,,,,,,
146,69,66,116,,,,,,,,,,
147,70,68,77,,,,,,,,,,
148,71,46,86,,,,,,,,,,
149,72,62,84,,,,,,,,,,
150,73,37,115,,,,,,,,,,
151,74,58,88,,,,,,,,,,
152,75,35,108,,,,,,,,,,
153,76,43,87,,,,,,,,,,
154,77,57,110,,,,,,,,,,
155,78,40,109,,,,,,,,,,
156,79,59,93,,,,,,,,,,
157,80,47,106,,,,,,,,,,
158,81,40,134,,,,,,,,,,
159,82,67,77,,,,,,,,,,
160,83,47,124,,,,,,,,,,
161,84,60,93,,,,,,,,,,
162,85,66,127,,,,,,,,,,
163,86,51,91,,,,,,,,,,
164,87,62,122,,,,,,,,,,
165,88,48,119,,,,,,,,,,
166,89,64,105,,,,,,,,,,
167,90,36,94,,,,,,,,,,
168,91,48,128,,,,,,,,,,
169,92,35,118,,,,,,,,,,
170,93,70,126,,,,,,,,,,
171,94,45,127,,,,,,,,,,
172,95,58,99,,,,,,,,,,
173,96,50,106,,,,,,,,,,
174,97,47,97,,,,,,,,,,
175,98,67,93,,,,,,,,,,
176,99,46,115,,,,,,,,,,
177,100,65,89,,,,,,,,,,
178,101,71,93,,,,,,,,,,
179,102,48,83,,,,,,,,,,
180,103,37,132,,,,,,,,,,
181,104,52,124,,,,,,,,,,
182,105,42,100,,,,,,,,,,
183,106,63,84,,,,,,,,,,
184,107,42,74,,,,,,,,,,
185,108,39,91,,,,,,,,,,
186,109,70,83,,,,,,,,,,
187,110,37,104,,,,,,,,,,
188,111,53,124,,,,,,,,,,
189,112,59,101,,,,,,,,,,
190,113,50,131,,,,,,,,,,
191,114,69,96,,,,,,,,,,
192,115,68,77,,,,,,,,,,
193,116,49,80,,,,,,,,,,
194,117,60,124,,,,,,,,,,
195,118,47,77,,,,,,,,,,
196,119,53,128,,,,,,,,,,
197,120,57,74,,,,,,,,,,
198,121,48,103,,,,,,,,,,
199,122,58,86,,,,,,,,,,
200,123,57,90,,,,,,,,,,
201,124,45,94,,,,,,,,,,
202,125,42,110,,,,,,,,,,
203,126,48,84,,,,,,,,,,
204,127,56,94,,,,,,,,,,
205,128,61,83,,,,,,,,,,
206,129,58,131,,,,,,,,,,
207,130,61,83,,,,,,,,,,
208,131,34,81,,,,,,,,,,
209,132,68,84,,,,,,,,,,
210,133,35,115,,,,,,,,,,
211,134,52,99,,,,,,,,,,
212,135,58,79,,,,,,,,,,
213,136,63,77,,,,,,,,,,
214,137,53,79,,,,,,,,,,
215,138,38,76,,,,,,,,,,
216,139,40,102,,,,,,,,,,
217,140,65,84,,,,,,,,,,
218,141,58,111,,,,,,,,,,
219,142,39,93,,,,,,,,,,
220,143,59,88,,,,,,,,,,
221,144,53,95,,,,,,,,,,
222,145,37,86,,,,,,,,,,
223,146,49,108,,,,,,,,,,
224,147,40,102,,,,,,,,,,
225,148,34,89,,,,,,,,,,
226,149,56,103,,,,,,,,,,
227,150,40,131,,,,,,,,,,
228,151,63,127,,,,,,,,,,
229,152,59,82,,,,,,,,,,
230,153,65,93,,,,,,,,,,
231,154,58,104,,,,,,,,,,
232,155,42,116,,,,,,,,,,
233,156,70,85,,,,,,,,,,
234,157,38,107,,,,,,,,,,
235,158,53,98,,,,,,,,,,
236,159,71,109,,,,,,,,,,
237,160,52,122,,,,,,,,,,
238,161,39,82,,,,,,,,,,
239,162,46,100,,,,,,,,,,
240,163,59,85,,,,,,,,,,
241,164,67,77,,,,,,,,,,
242,165,37,126,,,,,,,,,,
243,166,51,115,,,,,,,,,,
244,167,45,127,,,,,,,,,,
245,168,49,120,,,,,,,,,,
246,169,69,134,,,,,,,,,,
247,170,52,96,,,,,,,,,,
248,171,55,75,,,,,,,,,,
249,172,39,97,,,,,,,,,,
250,173,42,87,,,,,,,,,,
251,174,51,111,,,,,,,,,,
252,175,70,111,,,,,,,,,,
253,176,44,74,,,,,,,,,,
254,177,34,97,,,,,,,,,,
255,178,63,113,,,,,,,,,,
256,179,55,88,,,,,,,,,,
257,180,51,112,,,,,,,,,,
258,181,50,110,,,,,,,,,,
259,182,49,95,,,,,,,,,,
260,183,42,91,,,,,,,,,,
261,184,68,88,,,,,,,,,,
262,185,39,119,,,,,,,,,,
