,n,5,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,L,2,,,,,,,,
1,C,2,,,,,,,,
2,m,6,,,,,,,,
3,op2,14,,,,,,,,
4,N_Cmax,43,,,,,,,,
5,N_TT,74,,,,,,,,
6,I_Cmax,28,,,,,,,,
7,I_TT,0,,,,,,,,
8,MaxFES,3500,,,,,,,,
9,,,,,,,,,,
10,,,,1.0,1.0,1.0,2.0,2.0,2.0,Cell
11,,,,1.0,2.0,2.0,3.0,4.0,4.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,1.0,2.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,,,,
14,1,2,2,3.0,,,,,,
15,1,2,3,,4.0,4.0,,,,
16,1,9,1,,5.0,5.0,,,,
17,1,9,2,4.0,,,,,,
18,1,9,3,,5.0,5.0,,,,
19,2,4,1,,,,6.0,,,
20,2,4,2,,,,,2.0,2.0,
21,2,4,3,,,,6.0,,,
22,2,22,1,,,,,3.0,3.0,
23,2,22,2,,,,8.0,,,
24,2,22,3,,,,,3.0,3.0,
25,2,22,4,,,,8.0,,,
26,2,23,1,,,,,7.0,7.0,
27,,,,,,,,,,
28,Part Family,Part Family,Setup Time,,,,,,,
29,1,1,0,,,,,,,
30,1,2,3,,,,,,,
31,2,1,4,,,,,,,
32,2,2,0,,,,,,,
33,,,,,,,,,,
34,Cell,Cell,Transportation Time,,,,,,,
35,1,1,0,,,,,,,
36,1,2,3,,,,,,,
37,2,1,4,,,,,,,
38,2,2,0,,,,,,,
39,,,,,,,,,,
40,Job,Due Date,,,,,,,,
41,2,77,,,,,,,,
42,9,50,,,,,,,,
43,4,3,,,,,,,,
44,22,11,,,,,,,,
45,23,8,,,,,,,,
46,,,,,,,,,,
47,No,Reference_point1,Reference_point2,,,,,,,
48,1,29,34,,,,,,,
49,2,30,46,,,,,,,
50,3,31,40,,,,,,,
51,4,30,49,,,,,,,
52,5,28,44,,,,,,,
53,6,28,37,,,,,,,
54,7,29,50,,,,,,,
55,8,32,44,,,,,,,
56,9,29,44,,,,,,,
57,10,32,45,,,,,,,
58,11,33,34,,,,,,,
59,12,28,39,,,,,,,
60,13,32,36,,,,,,,
61,14,32,38,,,,,,,
62,15,32,48,,,,,,,
63,16,31,45,,,,,,,
64,17,32,33,,,,,,,
65,18,33,47,,,,,,,
66,19,33,34,,,,,,,
67,20,31,42,,,,,,,
68,21,29,50,,,,,,,
69,22,32,39,,,,,,,
70,23,30,45,,,,,,,
71,24,32,41,,,,,,,
72,25,29,39,,,,,,,
73,26,31,36,,,,,,,
74,27,30,45,,,,,,,
75,28,30,35,,,,,,,
76,29,33,34,,,,,,,
77,30,33,41,,,,,,,
78,31,31,33,,,,,,,
79,32,28,36,,,,,,,
80,33,28,38,,,,,,,
81,34,31,38,,,,,,,
82,35,33,48,,,,,,,
83,36,32,36,,,,,,,
84,37,28,36,,,,,,,
85,38,30,50,,,,,,,
86,39,30,46,,,,,,,
87,40,33,35,,,,,,,
88,41,30,38,,,,,,,
89,42,28,41,,,,,,,
90,43,30,39,,,,,,,
91,44,30,33,,,,,,,
92,45,31,48,,,,,,,
93,46,33,46,,,,,,,
94,47,28,33,,,,,,,
95,48,33,37,,,,,,,
96,49,33,41,,,,,,,
97,50,29,35,,,,,,,
98,51,28,39,,,,,,,
99,52,30,39,,,,,,,
100,53,31,38,,,,,,,
101,54,28,36,,,,,,,
102,55,29,40,,,,,,,
103,56,32,36,,,,,,,
104,57,28,48,,,,,,,
105,58,33,38,,,,,,,
106,59,33,44,,,,,,,
107,60,33,45,,,,,,,
108,61,33,42,,,,,,,
109,62,32,35,,,,,,,
110,63,28,33,,,,,,,
111,64,28,34,,,,,,,
112,65,29,36,,,,,,,
113,66,28,49,,,,,,,
114,67,30,47,,,,,,,
115,68,33,35,,,,,,,
116,69,33,45,,,,,,,
117,70,33,33,,,,,,,
118,71,29,36,,,,,,,
119,72,32,36,,,,,,,
120,73,28,45,,,,,,,
121,74,31,37,,,,,,,
122,75,28,43,,,,,,,
123,76,29,36,,,,,,,
124,77,31,43,,,,,,,
125,78,29,43,,,,,,,
126,79,32,38,,,,,,,
127,80,30,42,,,,,,,
128,81,29,50,,,,,,,
129,82,33,34,,,,,,,
130,83,30,47,,,,,,,
131,84,32,38,,,,,,,
132,85,33,48,,,,,,,
133,86,30,38,,,,,,,
134,87,32,47,,,,,,,
135,88,30,46,,,,,,,
136,89,32,42,,,,,,,
137,90,28,39,,,,,,,
138,91,30,49,,,,,,,
139,92,28,46,,,,,,,
140,93,33,48,,,,,,,
141,94,29,48,,,,,,,
142,95,31,40,,,,,,,
143,96,30,42,,,,,,,
144,97,30,39,,,,,,,
145,98,33,38,,,,,,,
146,99,29,45,,,,,,,
147,100,32,37,,,,,,,
148,101,33,38,,,,,,,
149,102,30,35,,,,,,,
150,103,28,50,,,,,,,
151,104,30,47,,,,,,,
152,105,29,40,,,,,,,
153,106,32,36,,,,,,,
154,107,29,33,,,,,,,
155,108,28,38,,,,,,,
156,109,33,35,,,,,,,
157,110,28,41,,,,,,,
158,111,31,47,,,,,,,
159,112,32,41,,,,,,,
160,113,30,49,,,,,,,
161,114,33,39,,,,,,,
162,115,33,34,,,,,,,
163,116,30,34,,,,,,,
164,117,32,47,,,,,,,
165,118,30,34,,,,,,,
166,119,31,48,,,,,,,
167,120,31,33,,,,,,,
168,121,30,41,,,,,,,
169,122,31,36,,,,,,,
170,123,31,37,,,,,,,
171,124,29,39,,,,,,,
172,125,29,43,,,,,,,
173,126,30,36,,,,,,,
174,127,31,38,,,,,,,
175,128,32,35,,,,,,,
176,129,31,49,,,,,,,
177,130,32,35,,,,,,,
178,131,28,35,,,,,,,
179,132,33,35,,,,,,,
180,133,28,45,,,,,,,
181,134,30,40,,,,,,,
182,135,31,34,,,,,,,
183,136,32,34,,,,,,,
184,137,31,34,,,,,,,
185,138,28,33,,,,,,,
186,139,29,41,,,,,,,
187,140,32,36,,,,,,,
188,141,31,44,,,,,,,
189,142,28,38,,,,,,,
190,143,32,37,,,,,,,
191,144,31,39,,,,,,,
192,145,28,36,,,,,,,
193,146,30,43,,,,,,,
194,147,29,41,,,,,,,
195,148,28,37,,,,,,,
196,149,31,41,,,,,,,
197,150,29,49,,,,,,,
198,151,32,48,,,,,,,
199,152,32,35,,,,,,,
200,153,32,38,,,,,,,
201,154,31,41,,,,,,,
202,155,29,45,,,,,,,
203,156,33,36,,,,,,,
204,157,28,42,,,,,,,
205,158,31,40,,,,,,,
206,159,33,43,,,,,,,
207,160,30,47,,,,,,,
208,161,28,35,,,,,,,
209,162,29,40,,,,,,,
210,163,32,36,,,,,,,
211,164,33,33,,,,,,,
212,165,28,48,,,,,,,
213,166,30,45,,,,,,,
214,167,29,48,,,,,,,
215,168,30,46,,,,,,,
216,169,33,50,,,,,,,
217,170,30,39,,,,,,,
218,171,31,33,,,,,,,
219,172,28,40,,,,,,,
220,173,29,36,,,,,,,
221,174,30,44,,,,,,,
222,175,33,43,,,,,,,
223,176,29,33,,,,,,,
224,177,28,39,,,,,,,
225,178,32,44,,,,,,,
226,179,31,37,,,,,,,
227,180,30,44,,,,,,,
228,181,30,43,,,,,,,
229,182,30,39,,,,,,,
230,183,29,38,,,,,,,
231,184,33,37,,,,,,,
232,185,28,46,,,,,,,
233,186,30,50,,,,,,,
234,187,28,35,,,,,,,
235,188,29,35,,,,,,,
236,189,33,49,,,,,,,
237,190,29,41,,,,,,,
238,191,32,37,,,,,,,
239,192,28,41,,,,,,,
240,193,31,41,,,,,,,
241,194,32,49,,,,,,,
242,195,28,46,,,,,,,
243,196,29,45,,,,,,,
244,197,31,48,,,,,,,
245,198,33,50,,,,,,,
246,199,31,47,,,,,,,
247,200,28,50,,,,,,,
248,201,29,37,,,,,,,
249,202,30,36,,,,,,,
250,203,28,37,,,,,,,
251,204,33,49,,,,,,,
252,205,28,44,,,,,,,
253,206,31,44,,,,,,,
254,207,28,50,,,,,,,
255,208,33,35,,,,,,,
256,209,31,49,,,,,,,
257,210,32,47,,,,,,,
258,211,31,50,,,,,,,
259,212,28,40,,,,,,,
260,213,31,46,,,,,,,
261,214,30,37,,,,,,,
262,215,29,37,,,,,,,
263,216,31,36,,,,,,,
264,217,32,37,,,,,,,
265,218,28,42,,,,,,,
266,219,32,48,,,,,,,
267,220,29,38,,,,,,,
268,221,31,47,,,,,,,
269,222,32,40,,,,,,,
270,223,28,43,,,,,,,
271,224,31,42,,,,,,,
272,225,33,47,,,,,,,
273,226,30,45,,,,,,,
274,227,28,39,,,,,,,
275,228,30,38,,,,,,,
276,229,28,34,,,,,,,
277,230,32,39,,,,,,,
278,231,32,45,,,,,,,
279,232,32,49,,,,,,,
280,233,28,41,,,,,,,
281,234,33,46,,,,,,,
282,235,33,39,,,,,,,
283,236,30,44,,,,,,,
284,237,31,41,,,,,,,
285,238,29,47,,,,,,,
286,239,29,45,,,,,,,
287,240,29,50,,,,,,,
288,241,28,49,,,,,,,
289,242,29,39,,,,,,,
290,243,32,47,,,,,,,
291,244,29,40,,,,,,,
292,245,33,47,,,,,,,
293,246,30,46,,,,,,,
294,247,29,50,,,,,,,
295,248,31,48,,,,,,,
296,249,28,48,,,,,,,
297,250,29,44,,,,,,,
298,251,32,48,,,,,,,
299,252,32,43,,,,,,,
300,253,30,47,,,,,,,
301,254,28,43,,,,,,,
302,255,28,42,,,,,,,
303,256,28,39,,,,,,,
304,257,32,45,,,,,,,
305,258,29,48,,,,,,,
306,259,30,39,,,,,,,
307,260,28,38,,,,,,,
308,261,29,40,,,,,,,
309,262,33,33,,,,,,,
310,263,33,44,,,,,,,
311,264,30,44,,,,,,,
312,265,33,40,,,,,,,
313,266,32,40,,,,,,,
314,267,30,45,,,,,,,
315,268,29,37,,,,,,,
316,269,29,45,,,,,,,
317,270,33,50,,,,,,,
318,271,32,43,,,,,,,
319,272,29,39,,,,,,,
320,273,32,33,,,,,,,
321,274,33,41,,,,,,,
322,275,32,44,,,,,,,
323,276,30,46,,,,,,,
324,277,32,50,,,,,,,
325,278,30,38,,,,,,,
326,279,28,45,,,,,,,
327,280,31,47,,,,,,,
328,281,30,40,,,,,,,
329,282,31,45,,,,,,,
330,283,32,45,,,,,,,
331,284,33,34,,,,,,,
332,285,31,33,,,,,,,
333,286,31,46,,,,,,,
334,287,30,35,,,,,,,
335,288,31,45,,,,,,,
336,289,28,41,,,,,,,
337,290,29,49,,,,,,,
338,291,32,49,,,,,,,
339,292,33,38,,,,,,,
340,293,28,33,,,,,,,
341,294,32,41,,,,,,,
342,295,29,49,,,,,,,
343,296,29,42,,,,,,,
344,297,28,35,,,,,,,
345,298,31,38,,,,,,,
346,299,33,43,,,,,,,
347,300,31,33,,,,,,,
348,301,28,48,,,,,,,
349,302,33,45,,,,,,,
350,303,33,44,,,,,,,
351,304,29,43,,,,,,,
352,305,30,44,,,,,,,
353,306,28,42,,,,,,,
354,307,30,45,,,,,,,
355,308,28,41,,,,,,,
356,309,31,38,,,,,,,
357,310,32,47,,,,,,,
358,311,28,41,,,,,,,
359,312,32,44,,,,,,,
360,313,32,34,,,,,,,
361,314,32,37,,,,,,,
362,315,31,37,,,,,,,
363,316,32,43,,,,,,,
364,317,33,37,,,,,,,
365,318,32,48,,,,,,,
366,319,33,37,,,,,,,
