n;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op27;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;22500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;Cell
;;;1;2;2;2;2;5;3;4;4;4;4;6;7;8;8;8;8;13;14;9;9;9;9;10;11;12;15;16;16;16;16;17;18;Machine
Part Family;Job;Operation no;1;1;2;3;4;1;1;1;2;3;4;1;1;1;2;3;4;1;1;1;2;3;4;1;1;1;1;1;2;3;4;1;1;Alternative(for machine)
1;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;;;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
1;5;2;;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;;;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
1;7;1;;;;;;;;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;
1;7;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;1;;;;;;;;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;
2;3;2;;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;1;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;2;;;;;;;;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
2;4;3;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;2;;;;;;;;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;
2;6;3;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;1;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;2;;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;3;;;;;;;;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
2;11;1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;
2;11;2;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;11;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;
2;11;4;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;22;1;;;;;;;;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
