n;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op34;104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;26000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;Cell
;;;1;2;5;19;3;4;6;20;7;8;8;13;14;9;9;10;11;11;11;12;12;12;21;15;16;16;17;18;22;Machine
Part Family;Job;Operation no;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;3;1;2;3;1;1;1;2;1;1;1;Alternative(for machine)
1;8;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;3;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;2;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;4;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;
1;39;2;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;2;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;4;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
2;31;1;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;
2;31;2;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
2;31;3;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
