n;12;;;;;;;;;;;
L;3;;;;;;;;;;;
C;3;;;;;;;;;;;
m;9;;;;;;;;;;;
op19;38;;;;;;;;;;;
N_Cmax;115;;;;;;;;;;;
N_TT;613;;;;;;;;;;;
I_Cmax;42;;;;;;;;;;;
I_TT;0;;;;;;;;;;;
MaxFES;9500;;;;;;;;;;;
;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;3;3;Cell
;;;1;2;2;5;3;4;4;7;8;Machine
Part Family;Job;Operation no;1;1;2;1;1;1;2;1;1;Alternative(for machine)
1;2;1;;4;4;;;;;;;
1;2;2;3;;;;;;;;;
1;2;3;;4;4;;;;;;;
1;5;1;;;;;;3;3;;;
1;5;2;;2;2;;;;;;;
1;5;3;6;;;;;;;;;
1;5;4;;;;;;3;3;;;
1;7;1;;;;;;5;5;;;
1;7;2;6;;;;;;;;;
1;7;3;;;;5;;;;;;
1;8;1;3;;;;;;;;;
1;8;2;;9;9;;;;;;;
1;8;3;;;;4;;;;;;
2;4;1;;;;;6;;;;;
2;4;2;;;;;;2;2;;;
2;4;3;;;;;6;;;;;
2;6;1;1;;;;;;;;;
2;6;2;;;;;;7;7;;;
2;6;3;;;;;5;;;;;
2;6;4;1;;;;;;;;;
2;10;1;;;;;9;;;;;
2;10;2;;7;7;;;;;;;
2;10;3;;;;;;3;3;;;
2;22;1;;;;;;3;3;;;
2;22;2;;;;;8;;;;;
2;22;3;;;;;;3;3;;;
2;22;4;;;;;8;;;;;
3;23;1;;;;;;7;7;;;
3;15;1;;;;;;;;;2;
3;15;2;;;;;;;;4;;
3;15;3;;;;;;1;1;;;
3;16;1;;;;;;;;5;;
3;16;2;;2;2;;;;;;;
3;16;3;;;;;;;;;3;
3;16;4;;2;2;;;;;;;
3;17;1;;;;;;1;1;;;
3;17;2;;;;;;;;1;;
3;17;3;;;;;;;;;2;
;;;;;;;;;;;;
Part Family;Part Family;Setup Time;;;;;;;;;;
1;1;0;;;;;;;;;;
1;2;3;;;;;;;;;;
1;3;7;;;;;;;;;;
2;1;4;;;;;;;;;;
2;2;0;;;;;;;;;;
2;3;4;;;;;;;;;;
3;1;6;;;;;;;;;;
3;2;5;;;;;;;;;;
3;3;0;;;;;;;;;;
;;;;;;;;;;;;
Cell;Cell;Transportation Time;;;;;;;;;;
1;1;0;;;;;;;;;;
1;2;3;;;;;;;;;;
1;3;5;;;;;;;;;;
2;1;4;;;;;;;;;;
2;2;0;;;;;;;;;;
2;3;8;;;;;;;;;;
3;1;6;;;;;;;;;;
3;2;5;;;;;;;;;;
3;3;0;;;;;;;;;;
;;;;;;;;;;;;
Job;Due Date;;;;;;;;;;;
2;77;;;;;;;;;;;
5;48;;;;;;;;;;;
7;5;;;;;;;;;;;
8;110;;;;;;;;;;;
4;3;;;;;;;;;;;
6;2;;;;;;;;;;;
10;8;;;;;;;;;;;
22;11;;;;;;;;;;;
23;5;;;;;;;;;;;
15;103;;;;;;;;;;;
16;4;;;;;;;;;;;
17;13;;;;;;;;;;;
;;;;;;;;;;;;
No;Reference_point1;Reference_point2;;;;;;;;;;
1;46;151;;;;;;;;;;
2;49;217;;;;;;;;;;
3;53;183;;;;;;;;;;
4;48;234;;;;;;;;;;
5;43;204;;;;;;;;;;
6;42;165;;;;;;;;;;
7;47;238;;;;;;;;;;
8;53;205;;;;;;;;;;
9;46;201;;;;;;;;;;
10;53;210;;;;;;;;;;
11;58;150;;;;;;;;;;
12;44;178;;;;;;;;;;
13;55;157;;;;;;;;;;
14;55;171;;;;;;;;;;
15;55;228;;;;;;;;;;
16;51;211;;;;;;;;;;
17;53;142;;;;;;;;;;
18;58;220;;;;;;;;;;
19;56;147;;;;;;;;;;
20;50;193;;;;;;;;;;
21;46;239;;;;;;;;;;
22;53;179;;;;;;;;;;
23;49;207;;;;;;;;;;
24;53;187;;;;;;;;;;
25;46;175;;;;;;;;;;
26;50;157;;;;;;;;;;
27;47;209;;;;;;;;;;
28;48;156;;;;;;;;;;
29;58;149;;;;;;;;;;
30;58;189;;;;;;;;;;
31;52;145;;;;;;;;;;
32;44;162;;;;;;;;;;
33;43;171;;;;;;;;;;
34;51;171;;;;;;;;;;
35;58;227;;;;;;;;;;
36;55;162;;;;;;;;;;
37;43;158;;;;;;;;;;
38;49;235;;;;;;;;;;
39;48;217;;;;;;;;;;
40;58;153;;;;;;;;;;
41;50;172;;;;;;;;;;
42;43;187;;;;;;;;;;
43;48;179;;;;;;;;;;
44;48;141;;;;;;;;;;
45;52;223;;;;;;;;;;
46;56;217;;;;;;;;;;
47;43;143;;;;;;;;;;
48;57;163;;;;;;;;;;
49;56;188;;;;;;;;;;
50;47;153;;;;;;;;;;
