operation,predecessors,procesing_time,machine
1,[],3.3333333333333335,5
2,['1'],15.0,2
3,['2'],15.0,1
4,['1'],30.0,2
5,"['1', '2']",30.0,1
6,"['1', '2', '3']",7.5,4
7,"['1', '2', '3', '4', '5']",30.0,4
8,"['1', '2', '3', '4', '5', '6']",15.0,5
9,"['1', '2', '3', '4', '5', '6', '8']",2.3076923076923075,1
10,"['1', '2', '3', '4', '5', '6', '7', '8']",10.0,3
11,"['1', '2', '3', '4', '5', '6', '7', '8']",3.0,5
12,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",3.75,1
13,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",1.6666666666666667,4
14,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",30.0,1
15,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",30.0,2
16,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",30.0,4
17,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15']",30.0,3
18,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '16']",30.0,4
19,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']",2.727272727272727,4
20,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '17']",5.0,3
21,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",30.0,3
22,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']",30.0,3
23,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20']",1.6666666666666667,1
24,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21']",1.4285714285714286,1
25,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23']",30.0,1
26,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24']",15.0,1
27,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25']",0.30927835051546393,3
28,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25']",30.0,2
29,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26']",15.0,3
