operation,predecessors,procesing_time,machine
1,[],7.5,1
2,[],30.0,3
3,[],15.0,2
4,"['1', '2']",30.0,1
5,"['1', '3']",30.0,3
6,"['1', '2', '3', '4', '5']",7.5,5
7,"['1', '2', '3', '4', '5']",30.0,1
8,"['1', '2', '3', '4', '5']",30.0,4
9,"['1', '2', '3', '5', '6']",4.285714285714286,2
10,"['1', '2', '3', '4', '5', '6', '7', '8']",30.0,1
11,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",30.0,2
12,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",15.0,5
13,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",30.0,5
14,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",7.5,2
15,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']",30.0,1
